profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
late,burst,random_walk,5000,5000,20260604_001620,0.4,0.0,0.0,10212.5,2.0,0.0,0.0,0.0,0.0,0.0,0,10092,5000,5000,0,0,0,0,2,0
late,burst,random_walk,5000,5000,20260604_001620,12.2,0.8852,0.0,5787.38,30.5,0.0,0.0,0.0,0.0,0.0,0,4903,5000,5000,0,0,0,0,61,0
late,burst,random_walk,5000,5000,20260604_001620,80.8,0.8645,0.0065,8833.46,155.0,0.0,0.0,0.0,0.0,0.0,0,7182,5000,5000,0,0,0,0,465,0
late,burst,random_walk,5000,5000,20260604_001620,105.8,0.8492,0.0051,8876.44,147.5,0.0,0.0,0.0,0.0,0.0,0,4964,5000,5000,0,0,0,0,590,0
late,burst,random_walk,5000,5000,20260604_001620,87.8,0.8639,0.0033,8088.35,180.8,0.0,0.0,0.0,0.0,0.0,0,4855,5000,5000,0,0,0,0,904,0
late,burst,random_walk,5000,5000,20260604_001620,83.4,0.86,0.0053,8459.99,220.17,0.0,0.0,0.0,0.0,0.0,0,6832,5000,5000,0,0,0,0,1321,0
late,burst,random_walk,5000,5000,20260604_001620,107.4,0.857,0.0049,8498.99,205.86,0.0,0.0,0.0,0.0,0.0,0,4971,5000,5000,0,0,0,0,1441,0
late,burst,random_walk,5000,5000,20260604_001620,63.2,0.8634,0.004,8174.7,219.63,0.0,0.0,0.0,0.0,0.0,0,4939,5000,5000,0,0,0,0,1757,0
late,burst,random_walk,5000,5000,20260604_001620,83.8,0.8631,0.0046,8383.8,241.78,0.0,0.0,0.0,0.0,0.0,0,6835,5000,5000,0,0,0,0,2176,0
late,burst,random_walk,5000,5000,20260604_001620,108.4,0.8591,0.0043,8395.6,229.9,0.0,0.0,0.0,0.0,0.0,0,4820,5000,5000,0,0,0,0,2299,0
late,burst,random_walk,5000,5000,20260604_001620,60.8,0.8609,0.0038,8197.82,236.64,0.0,0.0,0.0,0.0,0.0,0,4911,5000,5000,0,0,0,0,2603,0
late,burst,random_walk,5000,5000,20260604_001620,85.0,0.8629,0.0046,8348.5,252.33,0.0,0.0,0.0,0.0,0.0,0,6779,5000,5000,0,0,0,0,3028,0
late,burst,random_walk,5000,5000,20260604_001620,109.0,0.8615,0.0044,8365.5,242.15,0.0,0.0,0.0,0.0,0.0,0,4967,5000,5000,0,0,0,0,3148,0
late,burst,random_walk,5000,5000,20260604_001620,62.4,0.8627,0.004,8228.05,247.14,0.0,0.0,0.0,0.0,0.0,0,5034,5000,5000,0,0,0,0,3460,0
late,burst,random_walk,5000,5000,20260604_001620,86.6,0.8651,0.0046,8351.12,259.53,0.0,0.0,0.0,0.0,0.0,0,6928,5000,5000,0,0,0,0,3893,0
late,burst,random_walk,5000,5000,20260604_001620,108.4,0.8636,0.0045,8362.29,250.13,0.0,0.0,0.0,0.0,0.0,0,4970,5000,5000,0,0,0,0,4002,0
late,burst,random_walk,5000,5000,20260604_001620,61.8,0.8664,0.0042,8249.44,253.59,0.0,0.0,0.0,0.0,0.0,0,4983,5000,5000,0,0,0,0,4311,0
late,burst,random_walk,5000,5000,20260604_001620,84.8,0.8653,0.0046,8346.12,263.06,0.0,0.0,0.0,0.0,0.0,0,6870,5000,5000,0,0,0,0,4735,0
late,burst,random_walk,5000,5000,20260604_001620,109.4,0.8627,0.0045,8358.11,255.68,0.0,0.0,0.0,0.0,0.0,0,4906,5000,5000,0,0,0,0,4858,0
late,burst,random_walk,5000,5000,20260604_001620,62.8,0.8643,0.0043,8260.84,258.6,0.0,0.0,0.0,0.0,0.0,0,4954,5000,5000,0,0,0,0,5172,0
late,burst,random_walk,5000,5000,20260604_001620,84.2,0.8639,0.0045,8337.89,266.33,0.0,0.0,0.0,0.0,0.0,0,6858,5000,5000,0,0,0,0,5593,0
late,burst,random_walk,5000,5000,20260604_001620,110.4,0.8627,0.0044,8347.73,260.18,0.0,0.0,0.0,0.0,0.0,0,4806,5000,5000,0,0,0,0,5724,0
late,burst,random_walk,5000,5000,20260604_001620,60.2,0.8641,0.0041,8269.96,261.96,0.0,0.0,0.0,0.0,0.0,0,4898,5000,5000,0,0,0,0,6025,0
late,burst,random_walk,5000,5000,20260604_001620,85.2,0.865,0.0043,8351.68,268.79,0.0,0.0,0.0,0.0,0.0,0,7016,5000,5000,0,0,0,0,6451,0
late,burst,random_walk,5000,5000,20260604_001620,111.8,0.8642,0.0043,8364.74,263.36,0.0,0.0,0.0,0.0,0.0,0,5030,5000,5000,0,0,0,0,6584,0
late,burst,random_walk,5000,5000,20260604_001620,90.6,0.865,0.0041,8277.48,265.54,0.0,0.0,0.0,0.0,0.0,0,4778,5000,5000,0,0,0,0,6904,0
late,burst,random_walk,5000,5000,20260604_001620,86.2,0.8658,0.0044,8336.12,271.67,0.0,0.0,0.0,0.0,0.0,0,6844,5000,5000,0,0,0,0,7335,0
late,burst,random_walk,5000,5000,20260604_001620,111.0,0.8647,0.0043,8343.33,266.39,0.0,0.0,0.0,0.0,0.0,0,4918,5000,5000,0,0,0,0,7459,0
late,burst,random_walk,5000,5000,20260604_001620,87.6,0.8658,0.0041,8271.72,268.03,0.0,0.0,0.0,0.0,0.0,0,4797,5000,5000,0,0,0,0,7773,0
late,burst,random_walk,5000,5000,20260604_001620,82.8,0.8652,0.0044,8328.57,272.9,0.0,0.0,0.0,0.0,0.0,0,6905,5000,5000,0,0,0,0,8187,0
