profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
late,constant,straight,3000,5000,20260604_000356,3.2,0.75,0.0,5589.81,16.0,0.0,0.0,0.0,0.0,0.0,0,5032,3000,5000,0,0,0,0,16,0
late,constant,straight,3000,5000,20260604_000356,27.6,0.8116,0.0,6641.34,69.0,0.0,0.0,0.0,0.0,0.0,0,5382,3000,5000,0,0,0,0,138,0
late,constant,straight,3000,5000,20260604_000356,53.8,0.8175,0.0,6544.75,95.0,0.0,0.0,0.0,0.0,0.0,0,5215,3000,5000,0,0,0,0,285,0
late,constant,straight,3000,5000,20260604_000356,56.0,0.8086,0.0,6424.29,104.5,0.0,0.0,0.0,0.0,0.0,0,4907,3000,5000,0,0,0,0,418,0
late,constant,straight,3000,5000,20260604_000356,52.2,0.815,0.0,6368.99,109.2,0.0,0.0,0.0,0.0,0.0,0,4732,3000,5000,0,0,0,0,546,0
late,constant,straight,3000,5000,20260604_000356,51.4,0.8163,0.0,6361.19,112.5,0.0,0.0,0.0,0.0,0.0,0,4936,3000,5000,0,0,0,0,675,0
late,constant,straight,3000,5000,20260604_000356,52.4,0.8156,0.0,6342.04,115.43,0.0,0.0,0.0,0.0,0.0,0,4770,3000,5000,0,0,0,0,808,0
late,constant,straight,3000,5000,20260604_000356,54.6,0.8175,0.0,6319.32,118.5,0.0,0.0,0.0,0.0,0.0,0,4778,3000,5000,0,0,0,0,948,0
late,constant,straight,3000,5000,20260604_000356,55.2,0.8183,0.0,6336.85,120.44,0.0,0.0,0.0,0.0,0.0,0,5003,3000,5000,0,0,0,0,1084,0
late,constant,straight,3000,5000,20260604_000356,54.0,0.8169,0.0,6352.75,121.8,0.0,0.0,0.0,0.0,0.0,0,5043,3000,5000,0,0,0,0,1218,0
late,constant,straight,3000,5000,20260604_000356,54.2,0.8148,0.0,6352.78,123.18,0.0,0.0,0.0,0.0,0.0,0,4891,3000,5000,0,0,0,0,1355,0
late,constant,straight,3000,5000,20260604_000356,54.0,0.8145,0.0,6352.17,124.0,0.0,0.0,0.0,0.0,0.0,0,4889,3000,5000,0,0,0,0,1488,0
late,constant,straight,3000,5000,20260604_000356,54.4,0.8156,0.0,6370.76,125.15,0.0,0.0,0.0,0.0,0.0,0,5125,3000,5000,0,0,0,0,1627,0
late,constant,straight,3000,5000,20260604_000356,54.6,0.8137,0.0,6375.37,125.79,0.0,0.0,0.0,0.0,0.0,0,4977,3000,5000,0,0,0,0,1761,0
late,constant,straight,3000,5000,20260604_000356,54.2,0.8135,0.0,6369.14,126.53,0.0,0.0,0.0,0.0,0.0,0,4781,3000,5000,0,0,0,0,1898,0
late,constant,straight,3000,5000,20260604_000356,54.4,0.8151,0.0,6372.59,127.06,0.0,0.0,0.0,0.0,0.0,0,5018,3000,5000,0,0,0,0,2033,0
late,constant,straight,3000,5000,20260604_000356,52.8,0.8145,0.0,6384.49,127.18,0.0,0.0,0.0,0.0,0.0,0,5050,3000,5000,0,0,0,0,2162,0
late,constant,straight,3000,5000,20260604_000356,53.8,0.8158,0.0,6380.96,127.89,0.0,0.0,0.0,0.0,0.0,0,4872,3000,5000,0,0,0,0,2302,0
late,constant,straight,3000,5000,20260604_000356,55.0,0.8162,0.0,6383.49,128.26,0.0,0.0,0.0,0.0,0.0,0,4974,3000,5000,0,0,0,0,2437,0
late,constant,straight,3000,5000,20260604_000356,55.4,0.8166,0.0,6384.52,128.95,0.0,0.0,0.0,0.0,0.0,0,4978,3000,5000,0,0,0,0,2579,0
