profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
mixed,burst,collision,5000,5000,20260604_223617,3.4,0.8235,0.0,5551.06,17.0,0.5882,0.1,0.6,0.2,0.1,0,4752,5000,5000,1,6,2,1,17,10
mixed,burst,collision,5000,5000,20260604_223617,76.6,0.9687,0.0078,5108.68,191.5,0.5587,0.2803738317757009,0.5607476635514018,0.018691588785046728,0.14018691588785046,0,3401,5000,5000,60,120,4,30,383,214
mixed,burst,collision,5000,5000,20260604_223617,79.2,0.9679,0.0141,6920.54,259.67,0.5302,0.29055690072639223,0.5423728813559322,0.014527845036319613,0.15254237288135594,0,6373,5000,5000,120,224,6,63,779,413
mixed,burst,collision,5000,5000,20260604_223617,93.8,0.9624,0.0129,7047.67,213.0,0.5282,0.2733333333333333,0.5644444444444444,0.017777777777777778,0.14444444444444443,0,4722,5000,5000,123,254,8,65,852,450
mixed,burst,collision,5000,5000,20260604_223617,88.8,0.9624,0.0098,6567.61,244.6,0.5209,0.271585557299843,0.5667189952904239,0.01726844583987441,0.14442700156985872,0,3361,5000,5000,173,361,11,92,1223,637
mixed,burst,collision,5000,5000,20260604_223617,79.2,0.9617,0.0111,7019.7,269.83,0.5046,0.2827417380660955,0.5605875152998776,0.01591187270501836,0.14075887392900857,0,6020,5000,5000,231,458,13,115,1619,817
mixed,burst,collision,5000,5000,20260604_223617,94.4,0.9599,0.0106,7040.8,242.14,0.5062,0.27972027972027974,0.5687645687645687,0.016317016317016316,0.1351981351981352,0,4153,5000,5000,240,488,14,116,1695,858
mixed,burst,collision,5000,5000,20260604_223617,73.0,0.9612,0.0097,6958.94,257.5,0.4903,0.27920792079207923,0.5732673267326732,0.015841584158415842,0.1316831683168317,0,4459,5000,5000,282,579,16,133,2060,1010
mixed,burst,collision,5000,5000,20260604_223617,80.8,0.9623,0.0093,7206.63,273.78,0.4785,0.27735368956743,0.5742154368108566,0.015267175572519083,0.13316369804919423,0,6028,5000,5000,327,677,18,157,2464,1179
mixed,burst,collision,5000,5000,20260604_223617,95.2,0.961,0.0091,7209.73,253.6,0.4775,0.27250206440957886,0.5796862097440132,0.016515276630883566,0.13129644921552436,0,3874,5000,5000,330,702,20,159,2536,1211
mixed,burst,collision,5000,5000,20260604_223617,72.0,0.9617,0.0083,7087.73,263.27,0.4672,0.2690317812269032,0.5853658536585366,0.016260162601626018,0.1293422025129342,0,4159,5000,5000,364,792,22,175,2896,1353
mixed,burst,collision,5000,5000,20260604_223617,83.2,0.9629,0.0085,7255.5,276.0,0.4523,0.2623497997329773,0.595460614152203,0.01602136181575434,0.1261682242990654,0,5925,5000,5000,393,892,24,189,3312,1498
mixed,burst,collision,5000,5000,20260604_223617,96.8,0.9615,0.0083,7261.51,260.0,0.4488,0.25906394199077126,0.5998681608437706,0.016479894528675015,0.12458800263678313,0,3950,5000,5000,393,910,25,189,3380,1517
mixed,burst,collision,5000,5000,20260604_223617,86.4,0.9623,0.0075,7114.17,267.43,0.4434,0.2560240963855422,0.6024096385542169,0.016265060240963854,0.12530120481927712,0,3726,5000,5000,425,1000,27,208,3744,1660
mixed,burst,collision,5000,5000,20260604_223617,80.8,0.9624,0.008,7257.54,276.53,0.4327,0.2540389972144847,0.6044568245125348,0.01615598885793872,0.12534818941504178,0,6190,5000,5000,456,1085,29,225,4148,1795
mixed,burst,collision,5000,5000,20260604_223617,96.2,0.9607,0.0078,7252.45,264.06,0.4275,0.2530454042081949,0.6046511627906976,0.01716500553709856,0.12513842746400886,0,3433,5000,5000,457,1092,31,226,4225,1806
mixed,burst,collision,5000,5000,20260604_223617,74.6,0.9622,0.0078,7178.91,270.47,0.4189,0.2512980269989616,0.6053997923156802,0.017133956386292833,0.1261682242990654,0,4253,5000,5000,484,1166,33,243,4598,1926
mixed,burst,collision,5000,5000,20260604_223617,78.2,0.9625,0.008,7285.86,277.17,0.4129,0.24805825242718446,0.6048543689320388,0.01699029126213592,0.13009708737864079,0,6137,5000,5000,511,1246,35,268,4989,2060
mixed,burst,collision,5000,5000,20260604_223617,95.0,0.961,0.0079,7284.29,267.0,0.414,0.24476190476190476,0.61,0.017619047619047618,0.12761904761904763,0,3883,5000,5000,514,1281,37,268,5073,2100
mixed,burst,collision,5000,5000,20260604_223617,87.4,0.9609,0.0076,7187.08,271.3,0.4069,0.24003623188405798,0.6145833333333334,0.017663043478260868,0.12771739130434784,0,3836,5000,5000,530,1357,39,282,5426,2208
mixed,burst,collision,5000,5000,20260604_223617,77.4,0.9613,0.0081,7266.31,276.81,0.3981,0.2394122731201383,0.6171132238547969,0.017718236819360415,0.1257562662057044,0,5979,5000,5000,554,1428,41,291,5813,2314
mixed,burst,collision,5000,5000,20260604_223617,92.8,0.9601,0.008,7270.67,267.73,0.3963,0.23736075407026563,0.6199657240788347,0.017994858611825194,0.12467866323907455,0,4199,5000,5000,554,1447,42,291,5890,2334
mixed,burst,collision,5000,5000,20260604_223617,85.8,0.959,0.0077,7202.24,271.39,0.3869,0.23685300207039336,0.6207039337474121,0.018219461697722567,0.12422360248447205,0,3911,5000,5000,572,1499,44,300,6242,2415
mixed,burst,collision,5000,5000,20260604_223617,81.4,0.9597,0.008,7278.15,277.04,0.3763,0.2354116706634692,0.6223021582733813,0.01838529176658673,0.12390087929656275,0,5928,5000,5000,589,1557,46,310,6649,2502
mixed,burst,collision,5000,5000,20260604_223617,98.0,0.9587,0.0079,7274.85,269.28,0.3743,0.23452380952380952,0.6226190476190476,0.01904761904761905,0.12380952380952381,0,3561,5000,5000,591,1569,48,312,6732,2520
mixed,burst,collision,5000,5000,20260604_223617,73.2,0.9594,0.008,7193.74,273.0,0.3688,0.23300229182582124,0.6210847975553858,0.019098548510313215,0.12681436210847977,0,3617,5000,5000,610,1626,50,332,7098,2618
mixed,burst,collision,5000,5000,20260604_223617,80.6,0.96,0.0083,7266.54,277.81,0.3633,0.23229357798165137,0.6176146788990826,0.01908256880733945,0.1310091743119266,0,6080,5000,5000,633,1683,52,357,7501,2725
mixed,burst,collision,5000,5000,20260604_223617,96.4,0.9592,0.0082,7260.71,270.71,0.3644,0.23207820419985517,0.6180304127443881,0.01955104996379435,0.13034033309196236,0,3303,5000,5000,641,1707,54,360,7580,2762
mixed,burst,collision,5000,5000,20260604_223617,72.0,0.9584,0.0082,7176.09,273.79,0.3583,0.2312829525483304,0.6207381370826011,0.01968365553602812,0.1282952548330404,0,3341,5000,5000,658,1766,56,365,7940,2845
mixed,burst,collision,5000,5000,20260604_223617,78.2,0.9587,0.0085,7237.82,277.7,0.3522,0.2307430129516019,0.6203135650988412,0.019768234492160874,0.12917518745739603,0,6064,5000,5000,677,1820,58,379,8331,2934
mixed,burst,collision,5000,5000,20260604_223617,94.4,0.9583,0.0084,7239.63,271.35,0.3519,0.23006756756756758,0.6195945945945946,0.02027027027027027,0.13006756756756757,0,3835,5000,5000,681,1834,60,385,8412,2960
mixed,burst,collision,5000,5000,20260604_223617,89.6,0.9585,0.0084,7146.64,274.34,0.3465,0.2274819197896121,0.6193293885601578,0.020381328073635765,0.13280736357659434,0,2928,5000,5000,692,1884,62,404,8779,3042
mixed,burst,collision,5000,5000,20260604_223617,80.0,0.9584,0.0087,7203.13,278.15,0.3413,0.22630067028407277,0.6176188956271944,0.02042770507500798,0.13565272901372485,0,5977,5000,5000,709,1935,64,425,9179,3133
mixed,burst,collision,5000,5000,20260604_223617,95.6,0.9575,0.0086,7205.66,272.26,0.34,0.22561169367651732,0.6183666984429615,0.02065459167461074,0.13536701620591038,0,3828,5000,5000,710,1946,65,426,9257,3147
