profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
mixed,burst,random_walk,5000,5000,20260604_222546,0.2,0.0,0.0,5383.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5445,5000,5000,0,0,0,0,1,0
mixed,burst,random_walk,5000,5000,20260604_222546,12.2,0.918,0.0,5180.43,30.5,0.0,0.0,0.0,0.0,0.0,0,4427,5000,5000,0,0,0,0,61,0
mixed,burst,random_walk,5000,5000,20260604_222546,97.0,0.9527,0.0082,6457.39,162.0,0.0,0.0,0.0,0.0,0.0,0,4400,5000,5000,0,0,0,0,486,0
mixed,burst,random_walk,5000,5000,20260604_222546,70.6,0.9583,0.0083,6909.01,209.75,0.0,0.0,0.0,0.0,0.0,0,4921,5000,5000,0,0,0,0,839,0
mixed,burst,random_walk,5000,5000,20260604_222546,81.8,0.9542,0.0078,6725.28,179.0,0.0,0.0,0.0,0.0,0.0,0,3070,5000,5000,0,0,0,0,895,0
mixed,burst,random_walk,5000,5000,20260604_222546,82.2,0.9525,0.0084,6431.39,217.67,0.0,0.0,0.0,0.0,0.0,0,3441,5000,5000,0,0,0,0,1306,0
mixed,burst,random_walk,5000,5000,20260604_222546,73.0,0.9545,0.009,6688.03,238.71,0.0,0.0,0.0,0.0,0.0,0,4935,5000,5000,0,0,0,0,1671,0
mixed,burst,random_walk,5000,5000,20260604_222546,85.0,0.9521,0.0087,6610.92,216.38,0.0,0.0,0.0,0.0,0.0,0,3395,5000,5000,0,0,0,0,1731,0
mixed,burst,random_walk,5000,5000,20260604_222546,83.4,0.9539,0.0093,6676.11,238.67,0.0,0.0,0.0,0.0,0.0,0,4505,5000,5000,0,0,0,0,2148,0
mixed,burst,random_walk,5000,5000,20260604_222546,75.6,0.9557,0.0087,6828.43,252.6,0.0,0.0,0.0,0.0,0.0,0,4956,5000,5000,0,0,0,0,2526,0
mixed,burst,random_walk,5000,5000,20260604_222546,89.4,0.9557,0.0085,6761.53,235.91,0.0,0.0,0.0,0.0,0.0,0,3358,5000,5000,0,0,0,0,2595,0
mixed,burst,random_walk,5000,5000,20260604_222546,81.4,0.9537,0.009,6689.38,250.17,0.0,0.0,0.0,0.0,0.0,0,3836,5000,5000,0,0,0,0,3002,0
mixed,burst,random_walk,5000,5000,20260604_222546,73.4,0.9546,0.0095,6784.96,259.15,0.0,0.0,0.0,0.0,0.0,0,4923,5000,5000,0,0,0,0,3369,0
mixed,burst,random_walk,5000,5000,20260604_222546,84.2,0.9533,0.0093,6759.72,244.5,0.0,0.0,0.0,0.0,0.0,0,4106,5000,5000,0,0,0,0,3423,0
mixed,burst,random_walk,5000,5000,20260604_222546,97.2,0.9562,0.0091,6654.0,257.0,0.0,0.0,0.0,0.0,0.0,0,3387,5000,5000,0,0,0,0,3855,0
mixed,burst,random_walk,5000,5000,20260604_222546,72.2,0.9575,0.0093,6731.53,263.5,0.0,0.0,0.0,0.0,0.0,0,4818,5000,5000,0,0,0,0,4216,0
mixed,burst,random_walk,5000,5000,20260604_222546,84.4,0.9563,0.0091,6708.78,251.59,0.0,0.0,0.0,0.0,0.0,0,4046,5000,5000,0,0,0,0,4277,0
mixed,burst,random_walk,5000,5000,20260604_222546,98.2,0.9573,0.0085,6601.41,261.5,0.0,0.0,0.0,0.0,0.0,0,3133,5000,5000,0,0,0,0,4707,0
mixed,burst,random_walk,5000,5000,20260604_222546,71.8,0.9576,0.0089,6681.9,266.63,0.0,0.0,0.0,0.0,0.0,0,5067,5000,5000,0,0,0,0,5066,0
mixed,burst,random_walk,5000,5000,20260604_222546,84.2,0.9561,0.0088,6661.93,256.4,0.0,0.0,0.0,0.0,0.0,0,3814,5000,5000,0,0,0,0,5128,0
mixed,burst,random_walk,5000,5000,20260604_222546,94.8,0.956,0.0087,6592.34,263.81,0.0,0.0,0.0,0.0,0.0,0,3263,5000,5000,0,0,0,0,5540,0
mixed,burst,random_walk,5000,5000,20260604_222546,72.8,0.9561,0.009,6660.06,268.36,0.0,0.0,0.0,0.0,0.0,0,4945,5000,5000,0,0,0,0,5904,0
