profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
mixed,constant,straight,3000,5000,20260604_221419,2.8,0.7857,0.0,4881.5,14.0,0.0,0.0,0.0,0.0,0.0,0,4100,3000,5000,0,0,0,0,14,0
mixed,constant,straight,3000,5000,20260604_221419,25.4,0.9055,0.0,5561.2,63.5,0.0,0.0,0.0,0.0,0.0,0,4425,3000,5000,0,0,0,0,127,0
mixed,constant,straight,3000,5000,20260604_221419,50.2,0.9094,0.0,5476.15,88.33,0.0,0.0,0.0,0.0,0.0,0,4040,3000,5000,0,0,0,0,265,0
mixed,constant,straight,3000,5000,20260604_221419,53.8,0.9268,0.0,5532.51,99.0,0.0,0.0,0.0,0.0,0.0,0,4188,3000,5000,0,0,0,0,396,0
mixed,constant,straight,3000,5000,20260604_221419,51.0,0.9192,0.0,5611.21,104.0,0.0,0.0,0.0,0.0,0.0,0,4420,3000,5000,0,0,0,0,520,0
mixed,constant,straight,3000,5000,20260604_221419,53.2,0.9245,0.0,5664.95,110.33,0.0,0.0,0.0,0.0,0.0,0,4446,3000,5000,0,0,0,0,662,0
mixed,constant,straight,3000,5000,20260604_221419,53.6,0.9277,0.0,5656.75,112.57,0.0,0.0,0.0,0.0,0.0,0,4300,3000,5000,0,0,0,0,788,0
mixed,constant,straight,3000,5000,20260604_221419,79.8,0.9282,0.0,5492.03,114.88,0.0,0.0,0.0,0.0,0.0,0,3138,3000,5000,0,0,0,0,919,0
mixed,constant,straight,3000,5000,20260604_221419,52.6,0.9229,0.001,5518.86,116.78,0.0,0.0,0.0,0.0,0.0,0,4314,3000,5000,0,0,0,0,1051,0
mixed,constant,straight,3000,5000,20260604_221419,52.2,0.9254,0.0008,5570.69,118.0,0.0,0.0,0.0,0.0,0.0,0,4546,3000,5000,0,0,0,0,1180,0
mixed,constant,straight,3000,5000,20260604_221419,78.4,0.923,0.0008,5461.71,119.18,0.0,0.0,0.0,0.0,0.0,0,3016,3000,5000,0,0,0,0,1311,0
mixed,constant,straight,3000,5000,20260604_221419,79.6,0.9158,0.0007,5394.38,120.75,0.0,0.0,0.0,0.0,0.0,0,3198,3000,5000,0,0,0,0,1449,0
mixed,constant,straight,3000,5000,20260604_221419,54.2,0.9159,0.0006,5368.68,121.69,0.0,0.0,0.0,0.0,0.0,0,3630,3000,5000,0,0,0,0,1582,0
mixed,constant,straight,3000,5000,20260604_221419,55.0,0.9211,0.0006,5341.32,123.14,0.0,0.0,0.0,0.0,0.0,0,3494,3000,5000,0,0,0,0,1724,0
mixed,constant,straight,3000,5000,20260604_221419,55.6,0.922,0.0005,5345.99,124.0,0.0,0.0,0.0,0.0,0.0,0,3892,3000,5000,0,0,0,0,1860,0
