profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
mixed,wave,swarm,10000,5000,20260604_224806,19.6,0.9082,0.102,6694.61,98.0,0.1429,0.0,0.7857142857142857,0.0,0.21428571428571427,0,4721,10000,5000,0,11,0,3,98,14
mixed,wave,swarm,10000,5000,20260604_224806,114.8,0.942,0.0268,8458.12,336.0,0.067,0.08888888888888889,0.8,0.022222222222222223,0.08888888888888889,0,4078,10000,5000,4,36,1,4,672,45
mixed,wave,swarm,10000,5000,20260604_224806,120.4,0.9545,0.022,8633.59,424.67,0.0612,0.08974358974358974,0.7948717948717948,0.038461538461538464,0.07692307692307693,0,4024,10000,5000,7,62,3,6,1274,78
mixed,wave,swarm,10000,5000,20260604_224806,116.4,0.9526,0.021,8651.96,464.0,0.056,0.0673076923076923,0.7980769230769231,0.057692307692307696,0.07692307692307693,0,3816,10000,5000,7,83,6,8,1856,104
mixed,wave,swarm,10000,5000,20260604_224806,117.6,0.9529,0.0196,8750.73,488.8,0.0528,0.06201550387596899,0.7829457364341085,0.06976744186046512,0.08527131782945736,0,4156,10000,5000,8,101,9,11,2444,129
mixed,wave,swarm,10000,5000,20260604_224806,115.8,0.9557,0.0175,8790.49,503.83,0.0483,0.06164383561643835,0.7945205479452054,0.0684931506849315,0.07534246575342465,0,4007,10000,5000,9,116,10,11,3023,146
mixed,wave,swarm,10000,5000,20260604_224806,120.6,0.957,0.0168,8911.71,518.0,0.0447,0.06790123456790123,0.8024691358024691,0.06172839506172839,0.06790123456790123,0,4555,10000,5000,11,130,10,11,3626,162
mixed,wave,swarm,10000,5000,20260604_224806,121.0,0.9586,0.017,9042.35,528.88,0.0418,0.07344632768361582,0.8022598870056498,0.05649717514124294,0.06779661016949153,0,4798,10000,5000,13,142,10,12,4231,177
mixed,wave,swarm,10000,5000,20260604_224806,119.8,0.9592,0.0166,9008.98,536.67,0.0406,0.08163265306122448,0.7755102040816326,0.05102040816326531,0.09183673469387756,0,3935,10000,5000,16,152,10,18,4830,196
mixed,wave,swarm,10000,5000,20260604_224806,117.2,0.9585,0.0164,8983.11,541.6,0.0393,0.0892018779342723,0.7699530516431925,0.046948356807511735,0.09389671361502347,0,3864,10000,5000,19,164,10,20,5416,213
mixed,wave,swarm,10000,5000,20260604_224806,120.6,0.9588,0.0163,9049.77,547.18,0.0374,0.08444444444444445,0.7822222222222223,0.044444444444444446,0.08888888888888889,0,4738,10000,5000,19,176,10,20,6019,225
mixed,wave,swarm,10000,5000,20260604_224806,116.8,0.9594,0.0162,9002.48,550.25,0.0368,0.08641975308641975,0.7860082304526749,0.04526748971193416,0.0823045267489712,0,3609,10000,5000,21,191,11,20,6603,243
mixed,wave,swarm,10000,5000,20260604_224806,118.4,0.9593,0.0165,8970.78,553.46,0.0363,0.08812260536398467,0.7816091954022989,0.04597701149425287,0.0842911877394636,0,3684,10000,5000,23,204,12,22,7195,261
mixed,wave,swarm,10000,5000,20260604_224806,119.6,0.9597,0.0166,8941.33,556.64,0.0362,0.09219858156028368,0.776595744680851,0.04609929078014184,0.0851063829787234,0,3643,10000,5000,26,219,13,24,7793,282
mixed,wave,swarm,10000,5000,20260604_224806,120.6,0.959,0.0167,8936.69,559.73,0.0356,0.09364548494983277,0.7759197324414716,0.046822742474916385,0.08361204013377926,0,3867,10000,5000,28,232,14,25,8396,299
mixed,wave,swarm,10000,5000,20260604_224806,119.2,0.96,0.017,8879.37,562.0,0.0351,0.0981012658227848,0.7689873417721519,0.04746835443037975,0.08544303797468354,0,3196,10000,5000,31,243,15,27,8992,316
mixed,wave,swarm,10000,5000,20260604_224806,114.8,0.959,0.0169,8921.13,562.71,0.0348,0.0990990990990991,0.7657657657657657,0.04804804804804805,0.08708708708708708,0,4779,10000,5000,33,255,16,29,9566,333
mixed,wave,swarm,10000,5000,20260604_224806,121.0,0.9588,0.0167,8924.23,565.06,0.0343,0.10028653295128939,0.7679083094555874,0.04871060171919771,0.0830945558739255,0,3998,10000,5000,35,268,17,29,10171,349
mixed,wave,swarm,10000,5000,20260604_224806,115.0,0.9584,0.0166,8908.37,565.58,0.0342,0.10354223433242507,0.7656675749318801,0.04904632152588556,0.08174386920980926,0,3673,10000,5000,38,281,18,30,10746,367
mixed,wave,swarm,10000,5000,20260604_224806,122.2,0.9584,0.0166,8946.9,567.85,0.0335,0.10263157894736842,0.7684210526315789,0.04736842105263158,0.08157894736842106,0,4559,10000,5000,39,292,18,31,11357,380
mixed,wave,swarm,10000,5000,20260604_224806,119.8,0.9578,0.0166,8997.06,569.33,0.0331,0.09848484848484848,0.7702020202020202,0.045454545454545456,0.08585858585858586,0,4867,10000,5000,39,305,18,34,11956,396
mixed,wave,swarm,10000,5000,20260604_224806,119.4,0.9579,0.0164,8995.32,570.59,0.0325,0.09803921568627451,0.7720588235294118,0.04411764705882353,0.0857843137254902,0,4003,10000,5000,40,315,18,35,12553,408
mixed,wave,swarm,10000,5000,20260604_224806,115.2,0.9581,0.0164,8994.77,570.83,0.0321,0.0971563981042654,0.7748815165876777,0.045023696682464455,0.08293838862559241,0,4070,10000,5000,41,327,19,35,13129,422
mixed,wave,swarm,10000,5000,20260604_224806,118.4,0.9581,0.0162,8960.35,571.71,0.0316,0.09468822170900693,0.7759815242494227,0.046189376443418015,0.08314087759815242,0,3172,10000,5000,41,336,20,36,13721,433
mixed,wave,swarm,10000,5000,20260604_224806,117.2,0.9577,0.0164,8948.96,572.28,0.0309,0.09502262443438914,0.7782805429864253,0.04524886877828054,0.08144796380090498,0,3659,10000,5000,42,344,20,36,14307,442
mixed,wave,swarm,10000,5000,20260604_224806,119.4,0.9581,0.0161,8942.86,573.23,0.0302,0.09333333333333334,0.78,0.044444444444444446,0.08222222222222222,0,3734,10000,5000,42,351,20,37,14904,450
mixed,wave,swarm,10000,5000,20260604_224806,116.4,0.958,0.0158,8924.57,573.56,0.0298,0.09544468546637744,0.7787418655097614,0.0455531453362256,0.08026030368763558,0,3468,10000,5000,44,359,21,37,15486,461
mixed,wave,swarm,10000,5000,20260604_224806,120.2,0.9585,0.016,8933.77,574.54,0.0295,0.0949367088607595,0.7784810126582279,0.046413502109704644,0.08016877637130802,0,4177,10000,5000,45,369,22,38,16087,474
mixed,wave,swarm,10000,5000,20260604_224806,116.4,0.9586,0.0159,8930.29,574.79,0.0291,0.09278350515463918,0.7793814432989691,0.04742268041237113,0.08041237113402062,0,3818,10000,5000,45,378,23,39,16669,485
mixed,wave,swarm,10000,5000,20260604_224806,119.6,0.9585,0.0159,8908.04,575.57,0.0286,0.09330628803245436,0.7789046653144016,0.04665314401622718,0.08113590263691683,0,3315,10000,5000,46,384,23,40,17267,493
mixed,wave,swarm,10000,5000,20260604_224806,121.2,0.9587,0.0159,8913.81,576.55,0.0279,0.09218436873747494,0.781563126252505,0.04609218436873747,0.08016032064128256,0,4238,10000,5000,46,390,23,40,17873,499
mixed,wave,swarm,10000,5000,20260604_224806,117.8,0.9584,0.0159,8912.9,576.94,0.0274,0.09108910891089109,0.7821782178217822,0.04554455445544554,0.08118811881188119,0,3910,10000,5000,46,395,23,41,18462,505
mixed,wave,swarm,10000,5000,20260604_224806,119.4,0.9583,0.0158,8908.11,577.55,0.0268,0.09197651663405088,0.7808219178082192,0.04500978473581213,0.0821917808219178,0,3891,10000,5000,47,399,23,42,19059,511
mixed,wave,swarm,10000,5000,20260604_224806,118.0,0.9576,0.0158,8904.04,577.91,0.0264,0.09248554913294797,0.7803468208092486,0.04431599229287091,0.08285163776493257,0,3711,10000,5000,48,405,23,43,19649,519
mixed,wave,swarm,10000,5000,20260604_224806,116.4,0.9574,0.0158,8885.46,578.03,0.026,0.09125475285171103,0.7813688212927756,0.043726235741444866,0.08365019011406843,0,3197,10000,5000,48,411,23,44,20231,526
mixed,wave,swarm,10000,5000,20260604_224806,119.6,0.9573,0.0158,8878.49,578.58,0.0254,0.09056603773584905,0.7830188679245284,0.04339622641509434,0.0830188679245283,0,3693,10000,5000,48,415,23,44,20829,530
mixed,wave,swarm,10000,5000,20260604_224806,117.6,0.9572,0.0161,8873.36,578.84,0.0251,0.09124767225325885,0.7821229050279329,0.04283054003724395,0.08379888268156424,0,3649,10000,5000,49,420,23,45,21417,537
mixed,wave,swarm,10000,5000,20260604_224806,119.0,0.9573,0.0162,8862.71,579.26,0.0247,0.09392265193370165,0.7790055248618785,0.04419889502762431,0.08287292817679558,0,3574,10000,5000,51,423,24,45,22012,543
mixed,wave,swarm,10000,5000,20260604_224806,117.8,0.9575,0.0163,8853.15,579.51,0.0243,0.09289617486338798,0.7814207650273224,0.04371584699453552,0.08196721311475409,0,3410,10000,5000,51,429,24,45,22601,549
mixed,wave,swarm,10000,5000,20260604_224806,114.0,0.9574,0.0163,8830.29,579.28,0.024,0.0918918918918919,0.7837837837837838,0.043243243243243246,0.08108108108108109,0,2922,10000,5000,51,435,24,45,23171,555
mixed,wave,swarm,10000,5000,20260604_224806,120.4,0.9577,0.0164,8827.03,579.83,0.0236,0.09090909090909091,0.786096256684492,0.0427807486631016,0.08021390374331551,0,3610,10000,5000,51,441,24,45,23773,561
mixed,wave,swarm,10000,5000,20260604_224806,118.6,0.9576,0.0163,8836.89,580.14,0.0233,0.08994708994708994,0.7883597883597884,0.042328042328042326,0.07936507936507936,0,4339,10000,5000,51,447,24,45,24366,567
mixed,wave,swarm,10000,5000,20260604_224806,116.8,0.9578,0.0162,8851.52,580.23,0.0229,0.09090909090909091,0.7867132867132867,0.04195804195804196,0.08041958041958042,0,4393,10000,5000,52,450,24,46,24950,572
mixed,wave,swarm,10000,5000,20260604_224806,118.8,0.9581,0.016,8843.35,580.55,0.0225,0.0920138888888889,0.7864583333333334,0.041666666666666664,0.0798611111111111,0,3494,10000,5000,53,453,24,46,25544,576
mixed,wave,swarm,10000,5000,20260604_224806,117.8,0.9582,0.016,8850.0,580.73,0.0222,0.09153713298791019,0.7875647668393783,0.04145077720207254,0.07944732297063903,0,3998,10000,5000,53,456,24,46,26133,579
mixed,wave,swarm,10000,5000,20260604_224806,124.2,0.9579,0.0161,8845.62,581.61,0.0217,0.09122203098106713,0.7882960413080895,0.04130808950086059,0.07917383820998279,0,3691,10000,5000,53,458,24,46,26754,581
mixed,wave,swarm,10000,5000,20260604_224806,115.8,0.9577,0.0161,8842.88,581.55,0.0213,0.09090909090909091,0.7890222984562607,0.0411663807890223,0.07890222984562607,0,3819,10000,5000,53,460,24,46,27333,583
mixed,wave,swarm,10000,5000,20260604_224806,113.6,0.9577,0.016,8828.26,581.27,0.0209,0.09075342465753425,0.7893835616438356,0.0410958904109589,0.07876712328767123,0,3072,10000,5000,53,461,24,46,27901,584
mixed,wave,swarm,10000,5000,20260604_224806,121.8,0.958,0.0161,8830.76,581.84,0.0206,0.09044368600682594,0.78839590443686,0.040955631399317405,0.08020477815699659,0,3860,10000,5000,53,462,24,47,28510,586
mixed,wave,swarm,10000,5000,20260604_224806,121.2,0.958,0.0162,8821.08,582.32,0.0202,0.09013605442176871,0.7891156462585034,0.04081632653061224,0.07993197278911565,0,3282,10000,5000,53,464,24,47,29116,588
mixed,wave,swarm,10000,5000,20260604_224806,118.6,0.9579,0.0163,8810.9,582.53,0.0199,0.08983050847457627,0.7898305084745763,0.04067796610169491,0.07966101694915254,0,3430,10000,5000,53,466,24,47,29709,590
mixed,wave,swarm,10000,5000,20260604_224806,119.6,0.9577,0.0164,8806.38,582.83,0.0195,0.08952702702702703,0.7905405405405406,0.04054054054054054,0.07939189189189189,0,3684,10000,5000,53,468,24,47,30307,592
mixed,wave,swarm,10000,5000,20260604_224806,114.0,0.9576,0.0162,8800.67,582.58,0.0192,0.0893760539629005,0.790893760539629,0.04047217537942664,0.07925801011804384,0,3570,10000,5000,53,469,24,47,30877,593
