profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
out_of_order,burst,random_walk,3000,3000,20260604_212800,1.4,0.7143,0.0,3310.14,7.0,0.0,0.0,0.0,0.0,0.0,0,2863,3000,3000,0,0,0,0,7,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,29.6,0.8784,0.0068,3710.91,74.0,0.0,0.0,0.0,0.0,0.0,0,2916,3000,3000,0,0,0,0,148,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,77.0,0.8852,0.0102,3984.69,130.67,0.0,0.0,0.0,0.0,0.0,0,2770,3000,3000,0,0,0,0,392,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,99.4,0.8853,0.0109,4065.5,161.25,0.0,0.0,0.0,0.0,0.0,0,2767,3000,3000,0,0,0,0,645,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,39.8,0.8756,0.013,4627.92,168.8,0.0,0.0,0.0,0.0,0.0,0,4950,3000,3000,0,0,0,0,844,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,41.8,0.8724,0.0129,4620.38,142.33,0.0,0.0,0.0,0.0,0.0,0,2881,3000,3000,0,0,0,0,854,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,69.0,0.8737,0.0121,4487.11,141.43,0.0,0.0,0.0,0.0,0.0,0,2786,3000,3000,0,0,0,0,990,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,78.4,0.8724,0.0112,4462.76,155.75,0.0,0.0,0.0,0.0,0.0,0,2830,3000,3000,0,0,0,0,1246,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,49.8,0.8702,0.0134,5244.94,166.11,0.0,0.0,0.0,0.0,0.0,0,7766,3000,3000,0,0,0,0,1495,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,90.8,0.8647,0.0118,5393.36,170.0,0.0,0.0,0.0,0.0,0.0,0,4812,3000,3000,0,0,0,0,1700,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,91.4,0.8632,0.0117,5389.86,154.82,0.0,0.0,0.0,0.0,0.0,0,2986,3000,3000,0,0,0,0,1703,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,121.6,0.8668,0.0113,5268.96,154.5,0.0,0.0,0.0,0.0,0.0,0,2938,3000,3000,0,0,0,0,1854,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,81.0,0.8681,0.01,5165.9,162.15,0.0,0.0,0.0,0.0,0.0,0,2978,3000,3000,0,0,0,0,2108,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,102.0,0.8672,0.0089,5043.32,168.86,0.0,0.0,0.0,0.0,0.0,0,2614,3000,3000,0,0,0,0,2364,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,39.2,0.8652,0.0098,5157.15,170.67,0.0,0.0,0.0,0.0,0.0,0,5002,3000,3000,0,0,0,0,2560,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,40.6,0.864,0.0097,5152.8,160.44,0.0,0.0,0.0,0.0,0.0,0,3011,3000,3000,0,0,0,0,2567,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,69.4,0.8661,0.0096,5066.82,159.47,0.0,0.0,0.0,0.0,0.0,0,2693,3000,3000,0,0,0,0,2711,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,79.0,0.8653,0.0098,4993.98,164.56,0.0,0.0,0.0,0.0,0.0,0,2720,3000,3000,0,0,0,0,2962,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,102.8,0.8664,0.0096,4926.51,169.74,0.0,0.0,0.0,0.0,0.0,0,2758,3000,3000,0,0,0,0,3225,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,38.6,0.8645,0.0102,5012.7,170.9,0.0,0.0,0.0,0.0,0.0,0,4792,3000,3000,0,0,0,0,3418,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,39.2,0.8638,0.0102,5011.81,162.9,0.0,0.0,0.0,0.0,0.0,0,2979,3000,3000,0,0,0,0,3421,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,66.8,0.8665,0.0104,4962.39,161.77,0.0,0.0,0.0,0.0,0.0,0,2870,3000,3000,0,0,0,0,3559,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,80.2,0.8666,0.0105,4906.96,166.17,0.0,0.0,0.0,0.0,0.0,0,2706,3000,3000,0,0,0,0,3822,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,103.8,0.8649,0.0101,4863.65,169.92,0.0,0.0,0.0,0.0,0.0,0,2686,3000,3000,0,0,0,0,4078,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,40.2,0.864,0.0105,4938.52,171.16,0.0,0.0,0.0,0.0,0.0,0,4749,3000,3000,0,0,0,0,4279,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,42.2,0.8634,0.0105,4936.18,164.96,0.0,0.0,0.0,0.0,0.0,0,2810,3000,3000,0,0,0,0,4289,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,69.6,0.8647,0.0106,4898.36,163.93,0.0,0.0,0.0,0.0,0.0,0,2794,3000,3000,0,0,0,0,4426,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,76.4,0.8638,0.0103,4866.3,166.82,0.0,0.0,0.0,0.0,0.0,0,2869,3000,3000,0,0,0,0,4671,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,104.4,0.8626,0.0099,4837.18,170.62,0.0,0.0,0.0,0.0,0.0,0,2873,3000,3000,0,0,0,0,4948,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,40.0,0.8607,0.0103,4903.98,171.6,0.0,0.0,0.0,0.0,0.0,0,4902,3000,3000,0,0,0,0,5148,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,41.0,0.8601,0.0103,4903.25,166.23,0.0,0.0,0.0,0.0,0.0,0,2742,3000,3000,0,0,0,0,5153,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,70.2,0.8607,0.0102,4868.03,165.59,0.0,0.0,0.0,0.0,0.0,0,2749,3000,3000,0,0,0,0,5299,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,81.8,0.861,0.0104,4839.78,168.55,0.0,0.0,0.0,0.0,0.0,0,2769,3000,3000,0,0,0,0,5562,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,105.0,0.8621,0.0105,4802.84,171.29,0.0,0.0,0.0,0.0,0.0,0,2594,3000,3000,0,0,0,0,5824,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,36.8,0.8612,0.011,4853.24,171.66,0.0,0.0,0.0,0.0,0.0,0,4833,3000,3000,0,0,0,0,6008,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,39.0,0.8604,0.011,4852.14,167.19,0.0,0.0,0.0,0.0,0.0,0,2851,3000,3000,0,0,0,0,6019,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,64.4,0.8614,0.0112,4824.85,166.11,0.0,0.0,0.0,0.0,0.0,0,2682,3000,3000,0,0,0,0,6146,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,75.6,0.8612,0.0111,4800.93,168.34,0.0,0.0,0.0,0.0,0.0,0,2718,3000,3000,0,0,0,0,6397,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,53.6,0.8614,0.0116,4982.5,170.9,0.0,0.0,0.0,0.0,0.0,0,7808,3000,3000,0,0,0,0,6665,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,95.0,0.8613,0.0112,5027.12,171.8,0.0,0.0,0.0,0.0,0.0,0,4804,3000,3000,0,0,0,0,6872,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,97.0,0.8608,0.0112,5024.71,167.85,0.0,0.0,0.0,0.0,0.0,0,2802,3000,3000,0,0,0,0,6882,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,121.0,0.8613,0.0114,4997.77,166.71,0.0,0.0,0.0,0.0,0.0,0,2610,3000,3000,0,0,0,0,7002,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,75.2,0.8615,0.0116,4975.07,168.79,0.0,0.0,0.0,0.0,0.0,0,2872,3000,3000,0,0,0,0,7258,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,102.2,0.8618,0.0117,4949.81,170.75,0.0,0.0,0.0,0.0,0.0,0,2706,3000,3000,0,0,0,0,7513,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,41.8,0.8616,0.0119,4988.81,171.6,0.0,0.0,0.0,0.0,0.0,0,4818,3000,3000,0,0,0,0,7722,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,43.2,0.8612,0.0119,4987.92,168.02,0.0,0.0,0.0,0.0,0.0,0,3028,3000,3000,0,0,0,0,7729,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,68.8,0.8617,0.0117,4970.43,167.17,0.0,0.0,0.0,0.0,0.0,0,2975,3000,3000,0,0,0,0,7857,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,79.8,0.8616,0.0113,4944.87,169.33,0.0,0.0,0.0,0.0,0.0,0,2829,3000,3000,0,0,0,0,8128,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,50.8,0.8624,0.0117,5078.25,171.06,0.0,0.0,0.0,0.0,0.0,0,7895,3000,3000,0,0,0,0,8382,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,92.2,0.8618,0.0114,5115.22,171.78,0.0,0.0,0.0,0.0,0.0,0,4935,3000,3000,0,0,0,0,8589,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,92.8,0.8615,0.0114,5114.67,168.47,0.0,0.0,0.0,0.0,0.0,0,2932,3000,3000,0,0,0,0,8592,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,122.0,0.8627,0.0112,5093.67,168.04,0.0,0.0,0.0,0.0,0.0,0,2947,3000,3000,0,0,0,0,8738,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,80.4,0.8626,0.011,5068.37,169.7,0.0,0.0,0.0,0.0,0.0,0,2763,3000,3000,0,0,0,0,8994,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,98.8,0.8628,0.0109,5047.26,170.96,0.0,0.0,0.0,0.0,0.0,0,2785,3000,3000,0,0,0,0,9232,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,42.8,0.8624,0.0111,5080.61,171.75,0.0,0.0,0.0,0.0,0.0,0,4864,3000,3000,0,0,0,0,9446,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,44.2,0.8622,0.0111,5079.49,168.8,0.0,0.0,0.0,0.0,0.0,0,2642,3000,3000,0,0,0,0,9453,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,72.0,0.8631,0.0112,5057.6,168.28,0.0,0.0,0.0,0.0,0.0,0,2688,3000,3000,0,0,0,0,9592,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,79.8,0.8636,0.011,5033.81,169.86,0.0,0.0,0.0,0.0,0.0,0,2721,3000,3000,0,0,0,0,9852,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,101.6,0.8634,0.0109,5014.15,171.19,0.0,0.0,0.0,0.0,0.0,0,2740,3000,3000,0,0,0,0,10100,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,44.0,0.8625,0.011,5044.32,172.0,0.0,0.0,0.0,0.0,0.0,0,4785,3000,3000,0,0,0,0,10320,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,45.2,0.8622,0.011,5043.56,169.28,0.0,0.0,0.0,0.0,0.0,0,3037,3000,3000,0,0,0,0,10326,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,71.0,0.8627,0.0111,5027.65,168.63,0.0,0.0,0.0,0.0,0.0,0,2838,3000,3000,0,0,0,0,10455,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,78.2,0.8633,0.011,5005.6,170.11,0.0,0.0,0.0,0.0,0.0,0,2682,3000,3000,0,0,0,0,10717,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,102.2,0.8638,0.0109,4991.96,171.34,0.0,0.0,0.0,0.0,0.0,0,2889,3000,3000,0,0,0,0,10966,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,43.0,0.8637,0.0109,5022.98,172.02,0.0,0.0,0.0,0.0,0.0,0,4945,3000,3000,0,0,0,0,11181,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,44.2,0.8636,0.0109,5022.22,169.5,0.0,0.0,0.0,0.0,0.0,0,2812,3000,3000,0,0,0,0,11187,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,72.0,0.8644,0.0109,5004.36,169.04,0.0,0.0,0.0,0.0,0.0,0,2764,3000,3000,0,0,0,0,11326,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,78.8,0.8643,0.0108,4983.83,170.31,0.0,0.0,0.0,0.0,0.0,0,2613,3000,3000,0,0,0,0,11581,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,101.8,0.8642,0.0107,4968.16,171.52,0.0,0.0,0.0,0.0,0.0,0,2842,3000,3000,0,0,0,0,11835,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,41.2,0.8635,0.0109,4995.12,172.01,0.0,0.0,0.0,0.0,0.0,0,4935,3000,3000,0,0,0,0,12041,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,42.8,0.8632,0.0109,4994.35,169.7,0.0,0.0,0.0,0.0,0.0,0,2906,3000,3000,0,0,0,0,12049,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,68.6,0.8635,0.0108,4978.82,169.14,0.0,0.0,0.0,0.0,0.0,0,2728,3000,3000,0,0,0,0,12178,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,76.6,0.8634,0.0109,4964.38,170.3,0.0,0.0,0.0,0.0,0.0,0,2761,3000,3000,0,0,0,0,12432,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,104.4,0.8634,0.0108,4950.62,171.62,0.0,0.0,0.0,0.0,0.0,0,2797,3000,3000,0,0,0,0,12700,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,42.4,0.8632,0.0109,4975.73,172.16,0.0,0.0,0.0,0.0,0.0,0,4855,3000,3000,0,0,0,0,12912,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,43.4,0.8629,0.0109,4975.34,169.96,0.0,0.0,0.0,0.0,0.0,0,2701,3000,3000,0,0,0,0,12917,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,69.0,0.863,0.0109,4960.5,169.42,0.0,0.0,0.0,0.0,0.0,0,2673,3000,3000,0,0,0,0,13045,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,75.4,0.8634,0.0109,4951.61,170.44,0.0,0.0,0.0,0.0,0.0,0,2915,3000,3000,0,0,0,0,13294,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,104.8,0.8638,0.0108,4936.64,171.76,0.0,0.0,0.0,0.0,0.0,0,2732,3000,3000,0,0,0,0,13569,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,39.8,0.8637,0.0109,4957.51,172.1,0.0,0.0,0.0,0.0,0.0,0,4788,3000,3000,0,0,0,0,13768,0
