profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
out_of_order,constant,straight,1000,3000,20260604_211629,0.8,0.75,0.0,3538.25,4.0,0.0,0.0,0.0,0.0,0.0,0,3373,1000,3000,0,0,0,0,4,0
out_of_order,constant,straight,1000,3000,20260604_211629,2.6,0.7692,0.0,3531.15,6.5,0.0,0.0,0.0,0.0,0.0,0,3208,1000,3000,0,0,0,0,13,0
out_of_order,constant,straight,1000,3000,20260604_211629,9.2,0.7826,0.0,3456.54,15.33,0.0,0.0,0.0,0.0,0.0,0,2948,1000,3000,0,0,0,0,46,0
out_of_order,constant,straight,1000,3000,20260604_211629,19.6,0.7857,0.0,3439.51,24.5,0.0,0.0,0.0,0.0,0.0,0,2960,1000,3000,0,0,0,0,98,0
out_of_order,constant,straight,1000,3000,20260604_211629,29.4,0.7891,0.0,3430.37,29.4,0.0,0.0,0.0,0.0,0.0,0,2967,1000,3000,0,0,0,0,147,0
out_of_order,constant,straight,1000,3000,20260604_211629,38.8,0.8144,0.0,3417.22,32.33,0.0,0.0,0.0,0.0,0.0,0,2997,1000,3000,0,0,0,0,194,0
out_of_order,constant,straight,1000,3000,20260604_211629,45.0,0.8253,0.0,3397.21,32.71,0.0,0.0,0.0,0.0,0.0,0,2857,1000,3000,0,0,0,0,229,0
out_of_order,constant,straight,1000,3000,20260604_211629,51.8,0.8199,0.0,3374.51,34.0,0.0,0.0,0.0,0.0,0.0,0,2785,1000,3000,0,0,0,0,272,0
out_of_order,constant,straight,1000,3000,20260604_211629,54.6,0.8276,0.0,3359.56,35.44,0.0,0.0,0.0,0.0,0.0,0,2844,1000,3000,0,0,0,0,319,0
out_of_order,constant,straight,1000,3000,20260604_211629,43.6,0.8164,0.0,3366.9,36.5,0.0,0.0,0.0,0.0,0.0,0,3029,1000,3000,0,0,0,0,365,0
out_of_order,constant,straight,1000,3000,20260604_211629,51.8,0.8177,0.0,3357.33,36.91,0.0,0.0,0.0,0.0,0.0,0,2806,1000,3000,0,0,0,0,406,0
out_of_order,constant,straight,1000,3000,20260604_211629,44.6,0.8119,0.0,3361.56,37.67,0.0,0.0,0.0,0.0,0.0,0,2811,1000,3000,0,0,0,0,452,0
out_of_order,constant,straight,1000,3000,20260604_211629,45.6,0.808,0.0,3371.4,38.46,0.0,0.0,0.0,0.0,0.0,0,3034,1000,3000,0,0,0,0,500,0
out_of_order,constant,straight,1000,3000,20260604_211629,46.2,0.8091,0.0,3367.1,39.29,0.0,0.0,0.0,0.0,0.0,0,2841,1000,3000,0,0,0,0,550,0
out_of_order,constant,straight,1000,3000,20260604_211629,54.4,0.802,0.0,3348.09,39.4,0.0,0.0,0.0,0.0,0.0,0,2662,1000,3000,0,0,0,0,591,0
out_of_order,constant,straight,1000,3000,20260604_211629,46.2,0.8038,0.0,3349.39,39.81,0.0,0.0,0.0,0.0,0.0,0,2870,1000,3000,0,0,0,0,637,0
