profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
realtime,constant,corridor,10000,5000,20260603_211535,45.2,0.0265,0.0,7627.52,226.0,0.0,0.0,0.0,0.0,0.0,0,5460,10000,5000,0,0,0,0,226,0
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0085,0.0085,9379.02,351.0,0.0043,0.3333333333333333,0.6666666666666666,0.0,0.0,0,5425,10000,5000,1,2,0,0,702,3
realtime,constant,corridor,10000,5000,20260603_211535,94.8,0.0051,0.0102,9671.37,392.0,0.0043,0.2,0.8,0.0,0.0,0,5222,10000,5000,1,4,0,0,1176,5
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0036,0.0109,9827.07,413.0,0.0042,0.2857142857142857,0.7142857142857143,0.0,0.0,0,5335,10000,5000,2,5,0,0,1652,7
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0028,0.0113,9888.79,425.6,0.0038,0.25,0.75,0.0,0.0,0,5170,10000,5000,2,6,0,0,2128,8
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0023,0.0115,9946.25,434.0,0.0038,0.2,0.8,0.0,0.0,0,5282,10000,5000,2,8,0,0,2604,10
realtime,constant,corridor,10000,5000,20260603_211535,95.0,0.0019,0.0117,9970.38,439.86,0.0036,0.18181818181818182,0.8181818181818182,0.0,0.0,0,5199,10000,5000,2,9,0,0,3079,11
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0017,0.0118,10001.83,444.38,0.0031,0.18181818181818182,0.8181818181818182,0.0,0.0,0,5276,10000,5000,2,9,0,0,3555,11
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0015,0.0119,10014.19,447.89,0.0032,0.23076923076923078,0.7692307692307693,0.0,0.0,0,5190,10000,5000,3,10,0,0,4031,13
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0013,0.012,10033.95,450.7,0.0033,0.2,0.8,0.0,0.0,0,5259,10000,5000,3,12,0,0,4507,15
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0012,0.012,10040.28,453.0,0.003,0.2,0.8,0.0,0.0,0,5181,10000,5000,3,12,0,0,4983,15
realtime,constant,corridor,10000,5000,20260603_211535,95.0,0.0011,0.0121,10054.34,454.83,0.0029,0.1875,0.75,0.0,0.0625,0,5279,10000,5000,3,12,0,1,5458,16
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.001,0.0121,10059.59,456.46,0.003,0.16666666666666666,0.7777777777777778,0.0,0.05555555555555555,0,5202,10000,5000,3,14,0,1,5934,18
realtime,constant,corridor,10000,5000,20260603_211535,95.4,0.0009,0.0122,10070.44,457.93,0.003,0.15789473684210525,0.7894736842105263,0.0,0.05263157894736842,0,5260,10000,5000,3,15,0,1,6411,19
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0009,0.0122,10072.36,459.13,0.0029,0.15,0.8,0.0,0.05,0,5182,10000,5000,3,16,0,1,6887,20
realtime,constant,corridor,10000,5000,20260603_211535,95.0,0.0008,0.0122,10081.08,460.13,0.0029,0.14285714285714285,0.8095238095238095,0.0,0.047619047619047616,0,5291,10000,5000,3,17,0,1,7362,21
realtime,constant,corridor,10000,5000,20260603_211535,95.4,0.0008,0.0122,10082.49,461.12,0.0028,0.13636363636363635,0.8181818181818182,0.0,0.045454545454545456,0,5165,10000,5000,3,18,0,1,7839,22
realtime,constant,corridor,10000,5000,20260603_211535,95.0,0.0007,0.0123,10089.08,461.89,0.0028,0.13043478260869565,0.8260869565217391,0.0,0.043478260869565216,0,5284,10000,5000,3,19,0,1,8314,23
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0007,0.0123,10089.99,462.63,0.003,0.15384615384615385,0.7692307692307693,0.0,0.07692307692307693,0,5181,10000,5000,4,20,0,2,8790,26
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0006,0.0123,10095.7,463.3,0.003,0.17857142857142858,0.75,0.0,0.07142857142857142,0,5256,10000,5000,5,21,0,2,9266,28
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0006,0.0123,10095.97,463.9,0.0031,0.2,0.7333333333333333,0.0,0.06666666666666667,0,5181,10000,5000,6,22,0,2,9742,30
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0006,0.0123,10100.65,464.45,0.0029,0.2,0.7333333333333333,0.0,0.06666666666666667,0,5251,10000,5000,6,22,0,2,10218,30
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0006,0.0123,10100.17,464.96,0.0031,0.21212121212121213,0.696969696969697,0.0,0.09090909090909091,0,5153,10000,5000,7,23,0,3,10694,33
realtime,constant,corridor,10000,5000,20260603_211535,95.2,0.0005,0.0124,10103.84,465.42,0.003,0.20588235294117646,0.7058823529411765,0.0,0.08823529411764706,0,5245,10000,5000,7,24,0,3,11170,34
