profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
realtime,constant,straight,1000,500,20260603_203825,3.6,0.3333,0.0,935.56,18.0,0.0,0.0,0.0,0.0,0.0,0,835,1000,500,0,0,0,0,18,0
realtime,constant,straight,1000,500,20260603_203825,13.0,0.0923,0.0308,1094.25,32.5,0.0,0.0,0.0,0.0,0.0,0,713,1000,500,0,0,0,0,65,0
realtime,constant,straight,1000,500,20260603_203825,22.6,0.0531,0.0354,1097.65,37.67,0.0,0.0,0.0,0.0,0.0,0,637,1000,500,0,0,0,0,113,0
realtime,constant,straight,1000,500,20260603_203825,32.0,0.0375,0.0438,1115.46,40.0,0.0,0.0,0.0,0.0,0.0,0,697,1000,500,0,0,0,0,160,0
realtime,constant,straight,1000,500,20260603_203825,41.6,0.0288,0.0481,1127.15,41.6,0.0,0.0,0.0,0.0,0.0,0,688,1000,500,0,0,0,0,208,0
realtime,constant,straight,1000,500,20260603_203825,51.0,0.0235,0.051,1136.66,42.5,0.0,0.0,0.0,0.0,0.0,0,711,1000,500,0,0,0,0,255,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0198,0.0528,1144.65,43.29,0.0,0.0,0.0,0.0,0.0,0,709,1000,500,0,0,0,0,303,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0171,0.0543,1151.75,43.75,0.0,0.0,0.0,0.0,0.0,0,727,1000,500,0,0,0,0,350,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0151,0.0528,1158.2,44.22,0.0,0.0,0.0,0.0,0.0,0,734,1000,500,0,0,0,0,398,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0135,0.0517,1164.27,44.5,0.0,0.0,0.0,0.0,0.0,0,739,1000,500,0,0,0,0,445,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0122,0.0507,1169.97,44.82,0.0,0.0,0.0,0.0,0.0,0,737,1000,500,0,0,0,0,493,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0111,0.05,1175.5,45.0,0.0,0.0,0.0,0.0,0.0,0,759,1000,500,0,0,0,0,540,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0102,0.0493,1181.29,45.23,0.0,0.0,0.0,0.0,0.0,0,762,1000,500,0,0,0,0,588,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0094,0.0488,1187.03,45.36,0.0,0.0,0.0,0.0,0.0,0,783,1000,500,0,0,0,0,635,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0088,0.0483,1193.52,45.53,0.0,0.0,0.0,0.0,0.0,0,793,1000,500,0,0,0,0,683,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0082,0.0479,1199.7,45.63,0.0,0.0,0.0,0.0,0.0,0,809,1000,500,0,0,0,0,730,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0077,0.0476,1205.54,45.76,0.0,0.0,0.0,0.0,0.0,0,818,1000,500,0,0,0,0,778,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0073,0.0473,1211.28,45.83,0.0,0.0,0.0,0.0,0.0,0,828,1000,500,0,0,0,0,825,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0069,0.0458,1205.88,45.95,0.0,0.0,0.0,0.0,0.0,0,621,1000,500,0,0,0,0,873,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0065,0.0467,1201.51,46.0,0.0,0.0,0.0,0.0,0.0,0,644,1000,500,0,0,0,0,920,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0062,0.0475,1198.05,46.1,0.0,0.0,0.0,0.0,0.0,0,648,1000,500,0,0,0,0,968,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0059,0.0483,1195.64,46.14,0.0,0.0,0.0,0.0,0.0,0,673,1000,500,0,0,0,0,1015,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0056,0.0489,1193.87,46.22,0.0,0.0,0.0,0.0,0.0,0,674,1000,500,0,0,0,0,1063,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0054,0.0495,1192.43,46.25,0.0,0.0,0.0,0.0,0.0,0,680,1000,500,0,0,0,0,1110,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0052,0.0501,1191.55,46.32,0.0,0.0,0.0,0.0,0.0,0,683,1000,500,0,0,0,0,1158,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.005,0.0506,1191.23,46.35,0.0,0.0,0.0,0.0,0.0,0,705,1000,500,0,0,0,0,1205,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0048,0.0511,1191.38,46.41,0.0,0.0,0.0,0.0,0.0,0,715,1000,500,0,0,0,0,1253,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0046,0.0515,1191.91,46.43,0.0,0.0,0.0,0.0,0.0,0,728,1000,500,0,0,0,0,1300,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0045,0.0512,1192.85,46.48,0.0,0.0,0.0,0.0,0.0,0,731,1000,500,0,0,0,0,1348,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0043,0.0509,1193.83,46.53,0.0,0.0,0.0,0.0,0.0,0,738,1000,500,0,0,0,0,1396,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0042,0.0506,1195.05,46.55,0.0,0.0,0.0,0.0,0.0,0,761,1000,500,0,0,0,0,1443,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.004,0.0503,1196.59,46.59,0.0,0.0,0.0,0.0,0.0,0,760,1000,500,0,0,0,0,1491,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0039,0.0501,1198.33,46.61,0.0,0.0,0.0,0.0,0.0,0,776,1000,500,0,0,0,0,1538,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0038,0.0498,1200.38,46.65,0.0,0.0,0.0,0.0,0.0,0,784,1000,500,0,0,0,0,1586,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0037,0.0496,1202.57,46.66,0.0,0.0,0.0,0.0,0.0,0,800,1000,500,0,0,0,0,1633,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0036,0.0494,1204.9,46.69,0.0,0.0,0.0,0.0,0.0,0,800,1000,500,0,0,0,0,1681,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0035,0.0492,1207.3,46.7,0.0,0.0,0.0,0.0,0.0,0,815,1000,500,0,0,0,0,1728,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0034,0.049,1209.95,46.74,0.0,0.0,0.0,0.0,0.0,0,818,1000,500,0,0,0,0,1776,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0033,0.0483,1207.53,46.74,0.0,0.0,0.0,0.0,0.0,0,646,1000,500,0,0,0,0,1823,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0032,0.0486,1205.49,46.78,0.0,0.0,0.0,0.0,0.0,0,645,1000,500,0,0,0,0,1871,0
realtime,constant,straight,1000,500,20260603_203825,57.2,0.0031,0.049,1203.59,46.8,0.0,0.0,0.0,0.0,0.0,0,649,1000,500,0,0,0,0,1919,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0031,0.0493,1202.09,46.81,0.0,0.0,0.0,0.0,0.0,0,670,1000,500,0,0,0,0,1966,0
realtime,constant,straight,1000,500,20260603_203825,57.2,0.003,0.0497,1200.9,46.84,0.0,0.0,0.0,0.0,0.0,0,664,1000,500,0,0,0,0,2014,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0029,0.05,1200.1,46.84,0.0,0.0,0.0,0.0,0.0,0,686,1000,500,0,0,0,0,2061,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0028,0.0503,1199.58,46.87,0.0,0.0,0.0,0.0,0.0,0,697,1000,500,0,0,0,0,2109,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0028,0.0506,1199.47,46.87,0.0,0.0,0.0,0.0,0.0,0,721,1000,500,0,0,0,0,2156,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0027,0.0504,1199.49,46.89,0.0,0.0,0.0,0.0,0.0,0,727,1000,500,0,0,0,0,2204,0
realtime,constant,straight,1000,500,20260603_203825,47.4,0.0027,0.0506,1199.73,46.9,0.0,0.0,0.0,0.0,0.0,0,736,1000,500,0,0,0,0,2251,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0026,0.0505,1198.04,46.92,0.0,0.0,0.0,0.0,0.0,0,633,1000,500,0,0,0,0,2299,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0026,0.0507,1196.67,46.92,0.0,0.0,0.0,0.0,0.0,0,655,1000,500,0,0,0,0,2346,0
