profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
realtime,constant,swarm,5000,3000,20260603_210132,20.2,0.0693,0.0,4360.32,101.0,0.0693,0.0,1.0,0.0,0.0,0,3489,5000,3000,0,7,0,0,101,7
realtime,constant,swarm,5000,3000,20260603_210132,67.6,0.0207,0.0148,5324.34,169.0,0.1065,0.027777777777777776,0.8888888888888888,0.027777777777777776,0.05555555555555555,0,3397,5000,3000,1,32,1,2,338,36
realtime,constant,swarm,5000,3000,20260603_210132,47.4,0.0122,0.0174,5508.76,191.67,0.1009,0.017241379310344827,0.896551724137931,0.034482758620689655,0.05172413793103448,0,3403,5000,3000,1,52,2,3,575,58
realtime,constant,swarm,5000,3000,20260603_210132,94.8,0.0086,0.0172,5541.0,203.0,0.101,0.024390243902439025,0.9024390243902439,0.036585365853658534,0.036585365853658534,0,3189,5000,3000,2,74,3,3,812,82
realtime,constant,swarm,5000,3000,20260603_210132,47.6,0.0067,0.0181,5571.94,210.0,0.1057,0.02702702702702703,0.8828828828828829,0.036036036036036036,0.05405405405405406,0,3256,5000,3000,3,98,4,6,1050,111
realtime,constant,swarm,5000,3000,20260603_210132,47.6,0.0054,0.0186,5598.72,214.67,0.1095,0.0425531914893617,0.8723404255319149,0.0425531914893617,0.0425531914893617,0,3285,5000,3000,6,123,6,6,1288,141
realtime,constant,swarm,5000,3000,20260603_210132,47.6,0.0046,0.019,5623.95,218.0,0.114,0.04597701149425287,0.8563218390804598,0.05172413793103448,0.04597701149425287,0,3325,5000,3000,8,149,9,8,1526,174
realtime,constant,swarm,5000,3000,20260603_210132,95.2,0.004,0.0193,5621.76,220.5,0.1122,0.04040404040404041,0.8585858585858586,0.05555555555555555,0.045454545454545456,0,3161,5000,3000,8,170,11,9,1764,198
realtime,constant,swarm,5000,3000,20260603_210132,47.6,0.0035,0.0195,5625.78,222.44,0.1114,0.04035874439461883,0.8565022421524664,0.053811659192825115,0.04932735426008968,0,3209,5000,3000,9,191,12,11,2002,223
realtime,constant,swarm,5000,3000,20260603_210132,47.6,0.0031,0.0196,5634.08,224.0,0.1125,0.04365079365079365,0.8492063492063492,0.05555555555555555,0.051587301587301584,0,3257,5000,3000,11,214,14,13,2240,252
realtime,constant,swarm,5000,3000,20260603_210132,47.6,0.0028,0.0198,5645.44,225.27,0.1134,0.046263345195729534,0.8434163701067615,0.05693950177935943,0.05338078291814947,0,3315,5000,3000,13,237,16,15,2478,281
realtime,constant,swarm,5000,3000,20260603_210132,95.0,0.0026,0.0199,5642.08,226.25,0.1112,0.04966887417218543,0.8443708609271523,0.056291390728476824,0.04966887417218543,0,3164,5000,3000,15,255,17,15,2715,302
realtime,constant,swarm,5000,3000,20260603_210132,47.6,0.0024,0.02,5643.96,227.15,0.1111,0.04878048780487805,0.850609756097561,0.054878048780487805,0.04573170731707317,0,3223,5000,3000,16,279,18,15,2953,328
