profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
skewed,burst,swarm,5000,3000,20260603_234228,1.4,0.2857,0.0,2526.43,7.0,0.0,0.0,0.0,0.0,0.0,0,2049,5000,3000,0,0,0,0,7,0
skewed,burst,swarm,5000,3000,20260603_234228,80.4,0.9291,0.0171,8544.59,204.5,0.0538,0.045454545454545456,0.9090909090909091,0.0,0.045454545454545456,0,6849,5000,3000,1,20,0,1,409,22
skewed,burst,swarm,5000,3000,20260603_234228,102.8,0.9251,0.0134,8079.22,173.67,0.0537,0.03571428571428571,0.9285714285714286,0.0,0.03571428571428571,0,2767,5000,3000,1,26,0,1,521,28
skewed,burst,swarm,5000,3000,20260603_234228,92.0,0.9413,0.0092,6336.59,217.25,0.0564,0.04081632653061224,0.9183673469387755,0.0,0.04081632653061224,0,2151,5000,3000,2,45,0,2,869,49
skewed,burst,swarm,5000,3000,20260603_234228,89.2,0.9498,0.0122,7109.79,263.0,0.0525,0.043478260869565216,0.9130434782608695,0.0,0.043478260869565216,0,6358,5000,3000,3,63,0,3,1315,69
skewed,burst,swarm,5000,3000,20260603_234228,109.8,0.9485,0.0113,7006.54,236.33,0.0543,0.03896103896103896,0.922077922077922,0.0,0.03896103896103896,0,1608,5000,3000,3,71,0,3,1418,77
skewed,burst,swarm,5000,3000,20260603_234228,69.4,0.9337,0.0096,6480.03,252.14,0.0572,0.04950495049504951,0.900990099009901,0.0,0.04950495049504951,0,2552,5000,3000,5,91,0,5,1765,101
skewed,burst,swarm,5000,3000,20260603_234228,89.4,0.9358,0.0104,6946.45,276.5,0.0601,0.05263157894736842,0.8646616541353384,0.007518796992481203,0.07518796992481203,0,6465,5000,3000,7,115,1,10,2212,133
skewed,burst,swarm,5000,3000,20260603_234228,110.6,0.9353,0.0099,6893.51,257.56,0.063,0.04794520547945205,0.8561643835616438,0.0136986301369863,0.0821917808219178,0,1690,5000,3000,7,125,2,12,2318,146
skewed,burst,swarm,5000,3000,20260603_234228,69.8,0.9344,0.009,6521.86,266.7,0.0641,0.05263157894736842,0.8538011695906432,0.017543859649122806,0.07602339181286549,0,2232,5000,3000,9,146,3,13,2667,171
skewed,burst,swarm,5000,3000,20260603_234228,89.4,0.938,0.0103,6835.05,283.09,0.0642,0.06,0.835,0.025,0.08,0,6404,5000,3000,12,167,5,16,3114,200
skewed,burst,swarm,5000,3000,20260603_234228,110.4,0.9369,0.0099,6803.77,268.25,0.0643,0.057971014492753624,0.8405797101449275,0.024154589371980676,0.07729468599033816,0,2321,5000,3000,12,174,5,16,3219,207
skewed,burst,swarm,5000,3000,20260603_234228,70.4,0.9364,0.0095,6492.58,274.69,0.065,0.05603448275862069,0.8448275862068966,0.02586206896551724,0.07327586206896551,0,1805,5000,3000,13,196,6,17,3571,232
skewed,burst,swarm,5000,3000,20260603_234228,88.6,0.9385,0.0105,6729.28,286.71,0.064,0.058365758754863814,0.8404669260700389,0.027237354085603113,0.07392996108949416,0,6344,5000,3000,15,216,7,19,4014,257
skewed,burst,swarm,5000,3000,20260603_234228,111.0,0.9365,0.0102,6714.11,275.07,0.065,0.05970149253731343,0.8395522388059702,0.026119402985074626,0.07462686567164178,0,2200,5000,3000,16,225,7,20,4126,268
skewed,burst,swarm,5000,3000,20260603_234228,91.0,0.9371,0.0103,6475.05,279.31,0.0631,0.05673758865248227,0.8475177304964538,0.024822695035460994,0.07092198581560284,0,1733,5000,3000,16,239,7,20,4469,282
skewed,burst,swarm,5000,3000,20260603_234228,91.6,0.9371,0.011,6696.82,289.82,0.0611,0.05647840531561462,0.8471760797342193,0.026578073089700997,0.06976744186046512,0,6529,5000,3000,17,255,8,21,4927,301
skewed,burst,swarm,5000,3000,20260603_234228,112.6,0.9364,0.0107,6690.6,279.56,0.0604,0.05592105263157895,0.8486842105263158,0.02631578947368421,0.06907894736842106,0,2204,5000,3000,17,258,8,21,5032,304
skewed,burst,swarm,5000,3000,20260603_234228,91.0,0.937,0.0108,6470.58,283.26,0.0595,0.05625,0.84375,0.028125,0.071875,0,1456,5000,3000,18,270,9,23,5382,320
skewed,burst,swarm,5000,3000,20260603_234228,90.4,0.9379,0.0115,6646.46,291.7,0.0583,0.058823529411764705,0.8441176470588235,0.029411764705882353,0.06764705882352941,0,6432,5000,3000,20,287,10,23,5834,340
skewed,burst,swarm,5000,3000,20260603_234228,111.2,0.9375,0.0113,6640.28,282.76,0.0588,0.06017191977077364,0.839541547277937,0.02865329512893983,0.07163323782234957,0,2307,5000,3000,21,293,10,25,5938,349
skewed,burst,swarm,5000,3000,20260603_234228,181.0,0.9348,0.0111,6440.06,285.77,0.0576,0.058011049723756904,0.8425414364640884,0.03038674033149171,0.06906077348066299,0,1174,5000,3000,21,305,11,25,6287,362
skewed,burst,swarm,5000,3000,20260603_234228,89.8,0.9356,0.0117,6588.63,292.87,0.0561,0.05555555555555555,0.8465608465608465,0.031746031746031744,0.06613756613756613,0,6339,5000,3000,21,320,12,25,6736,378
skewed,burst,swarm,5000,3000,20260603_234228,110.2,0.9351,0.0116,6587.42,284.92,0.0559,0.0549738219895288,0.8481675392670157,0.031413612565445025,0.06544502617801047,0,2492,5000,3000,21,324,12,25,6838,382
skewed,burst,swarm,5000,3000,20260603_234228,90.6,0.9355,0.0115,6432.45,287.56,0.0545,0.05357142857142857,0.8469387755102041,0.03316326530612245,0.0663265306122449,0,1565,5000,3000,21,332,13,26,7189,392
skewed,burst,swarm,5000,3000,20260603_234228,89.2,0.9349,0.012,6562.24,293.65,0.0541,0.05084745762711865,0.8426150121065376,0.03389830508474576,0.07263922518159806,0,6304,5000,3000,21,348,14,30,7635,413
skewed,burst,swarm,5000,3000,20260603_234228,110.4,0.9348,0.0119,6552.39,286.7,0.054,0.050239234449760764,0.8444976076555024,0.03349282296650718,0.07177033492822966,0,1798,5000,3000,21,353,14,30,7741,418
skewed,burst,swarm,5000,3000,20260603_234228,68.2,0.9358,0.0115,6445.16,288.64,0.0535,0.05092592592592592,0.8472222222222222,0.032407407407407406,0.06944444444444445,0,2128,5000,3000,22,366,14,30,8082,432
skewed,burst,swarm,5000,3000,20260603_234228,92.6,0.9372,0.0117,6576.01,294.66,0.0532,0.05054945054945055,0.843956043956044,0.035164835164835165,0.07032967032967033,0,6467,5000,3000,23,384,16,32,8545,455
skewed,burst,swarm,5000,3000,20260603_234228,113.2,0.937,0.0116,6566.49,288.27,0.0541,0.05128205128205128,0.8418803418803419,0.03632478632478633,0.07051282051282051,0,1676,5000,3000,24,394,17,33,8648,468
skewed,burst,swarm,5000,3000,20260603_234228,68.8,0.9368,0.0113,6456.28,290.06,0.054,0.04938271604938271,0.8436213991769548,0.037037037037037035,0.06995884773662552,0,1868,5000,3000,24,410,18,34,8992,486
skewed,burst,swarm,5000,3000,20260603_234228,90.4,0.9386,0.0116,6566.32,295.13,0.0535,0.04950495049504951,0.8455445544554455,0.03762376237623762,0.06732673267326733,0,6415,5000,3000,25,427,19,34,9444,505
skewed,burst,swarm,5000,3000,20260603_234228,111.8,0.9383,0.0115,6559.42,289.42,0.0535,0.04892367906066536,0.8473581213307241,0.03718199608610567,0.06653620352250489,0,2269,5000,3000,25,433,19,34,9551,511
skewed,burst,swarm,5000,3000,20260603_234228,92.4,0.9369,0.0117,6448.79,291.35,0.0529,0.04961832061068702,0.8473282442748091,0.03625954198473282,0.06679389312977099,0,1592,5000,3000,26,444,19,35,9906,524
