profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
skewed,constant,random_walk,3000,3000,20260603_213807,1.0,0.6,0.0,2112.2,5.0,0.0,0.0,0.0,0.0,0.0,0,2008,3000,3000,0,0,0,0,5,0
skewed,constant,random_walk,3000,3000,20260603_213807,30.0,0.7933,0.0333,3353.55,75.0,0.0,0.0,0.0,0.0,0.0,0,1984,3000,3000,0,0,0,0,150,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.4,0.8049,0.0244,3234.01,95.67,0.0,0.0,0.0,0.0,0.0,0,1741,3000,3000,0,0,0,0,287,0
skewed,constant,random_walk,3000,3000,20260603_213807,54.2,0.8504,0.0261,3352.22,105.25,0.0,0.0,0.0,0.0,0.0,0,2183,3000,3000,0,0,0,0,421,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.2,0.875,0.0246,3373.03,113.6,0.0,0.0,0.0,0.0,0.0,0,1983,3000,3000,0,0,0,0,568,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.2,0.8784,0.0255,3476.87,117.83,0.0,0.0,0.0,0.0,0.0,0,2395,3000,3000,0,0,0,0,707,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8886,0.0223,3515.25,121.86,0.0,0.0,0.0,0.0,0.0,0,2218,3000,3000,0,0,0,0,853,0
skewed,constant,random_walk,3000,3000,20260603_213807,58.8,0.8741,0.023,3576.76,125.13,0.0,0.0,0.0,0.0,0.0,0,2510,3000,3000,0,0,0,0,1001,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.4,0.8825,0.0219,3593.28,126.67,0.0,0.0,0.0,0.0,0.0,0,2277,3000,3000,0,0,0,0,1140,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.0,0.8852,0.0211,3541.73,128.1,0.0,0.0,0.0,0.0,0.0,0,1697,3000,3000,0,0,0,0,1281,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.6,0.8848,0.0225,3585.48,129.36,0.0,0.0,0.0,0.0,0.0,0,2531,3000,3000,0,0,0,0,1423,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.6,0.8894,0.0211,3521.61,130.33,0.0,0.0,0.0,0.0,0.0,0,1387,3000,3000,0,0,0,0,1564,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8911,0.0228,3499.81,131.38,0.0,0.0,0.0,0.0,0.0,0,1796,3000,3000,0,0,0,0,1708,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.8,0.8837,0.0227,3503.71,132.0,0.0,0.0,0.0,0.0,0.0,0,2032,3000,3000,0,0,0,0,1848,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.0,0.8828,0.0231,3470.57,132.53,0.0,0.0,0.0,0.0,0.0,0,1478,3000,3000,0,0,0,0,1988,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.8,0.8741,0.0243,3462.69,133.56,0.0,0.0,0.0,0.0,0.0,0,1873,3000,3000,0,0,0,0,2137,0
skewed,constant,random_walk,3000,3000,20260603_213807,58.4,0.8785,0.025,3506.9,134.12,0.0,0.0,0.0,0.0,0.0,0,2753,3000,3000,0,0,0,0,2280,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.4,0.8717,0.0235,3500.68,134.67,0.0,0.0,0.0,0.0,0.0,0,1929,3000,3000,0,0,0,0,2424,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.8,0.8697,0.0242,3498.18,134.95,0.0,0.0,0.0,0.0,0.0,0,1999,3000,3000,0,0,0,0,2564,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.6,0.8746,0.0247,3540.7,135.6,0.0,0.0,0.0,0.0,0.0,0,2817,3000,3000,0,0,0,0,2712,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.8,0.8773,0.0242,3577.92,135.86,0.0,0.0,0.0,0.0,0.0,0,2847,3000,3000,0,0,0,0,2853,0
skewed,constant,random_walk,3000,3000,20260603_213807,85.8,0.8794,0.0234,3555.97,136.05,0.0,0.0,0.0,0.0,0.0,0,1666,3000,3000,0,0,0,0,2993,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.8,0.8693,0.0242,3556.05,136.39,0.0,0.0,0.0,0.0,0.0,0,2094,3000,3000,0,0,0,0,3137,0
skewed,constant,random_walk,3000,3000,20260603_213807,58.0,0.8696,0.0238,3547.79,136.79,0.0,0.0,0.0,0.0,0.0,0,1921,3000,3000,0,0,0,0,3283,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8659,0.0243,3543.57,136.88,0.0,0.0,0.0,0.0,0.0,0,1965,3000,3000,0,0,0,0,3422,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8688,0.0235,3532.7,137.23,0.0,0.0,0.0,0.0,0.0,0,1773,3000,3000,0,0,0,0,3568,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.4,0.8714,0.0237,3537.22,137.37,0.0,0.0,0.0,0.0,0.0,0,2204,3000,3000,0,0,0,0,3709,0
skewed,constant,random_walk,3000,3000,20260603_213807,55.6,0.8721,0.0234,3543.03,137.36,0.0,0.0,0.0,0.0,0.0,0,2313,3000,3000,0,0,0,0,3846,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.2,0.8737,0.0231,3522.22,137.59,0.0,0.0,0.0,0.0,0.0,0,1469,3000,3000,0,0,0,0,3990,0
skewed,constant,random_walk,3000,3000,20260603_213807,58.8,0.8749,0.0234,3528.0,138.0,0.0,0.0,0.0,0.0,0.0,0,2302,3000,3000,0,0,0,0,4140,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.6,0.8761,0.0231,3530.67,138.0,0.0,0.0,0.0,0.0,0.0,0,2135,3000,3000,0,0,0,0,4278,0
skewed,constant,random_walk,3000,3000,20260603_213807,55.8,0.8769,0.0229,3513.63,138.09,0.0,0.0,0.0,0.0,0.0,0,1556,3000,3000,0,0,0,0,4419,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.6,0.8772,0.0235,3505.83,138.21,0.0,0.0,0.0,0.0,0.0,0,1781,3000,3000,0,0,0,0,4561,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.6,0.8773,0.0238,3523.2,138.29,0.0,0.0,0.0,0.0,0.0,0,2628,3000,3000,0,0,0,0,4702,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.6,0.8781,0.0231,3509.93,138.54,0.0,0.0,0.0,0.0,0.0,0,1653,3000,3000,0,0,0,0,4849,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.6,0.88,0.0236,3521.38,138.61,0.0,0.0,0.0,0.0,0.0,0,2472,3000,3000,0,0,0,0,4990,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.0,0.8791,0.0234,3529.19,138.62,0.0,0.0,0.0,0.0,0.0,0,2318,3000,3000,0,0,0,0,5129,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.6,0.8792,0.0235,3520.39,138.76,0.0,0.0,0.0,0.0,0.0,0,1734,3000,3000,0,0,0,0,5273,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.8,0.8806,0.024,3507.07,138.92,0.0,0.0,0.0,0.0,0.0,0,1601,3000,3000,0,0,0,0,5418,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.6,0.8822,0.0243,3495.48,139.03,0.0,0.0,0.0,0.0,0.0,0,1590,3000,3000,0,0,0,0,5561,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8815,0.0244,3499.96,139.1,0.0,0.0,0.0,0.0,0.0,0,2214,3000,3000,0,0,0,0,5703,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.2,0.8796,0.0243,3508.68,139.21,0.0,0.0,0.0,0.0,0.0,0,2450,3000,3000,0,0,0,0,5847,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8813,0.0239,3508.21,139.26,0.0,0.0,0.0,0.0,0.0,0,2078,3000,3000,0,0,0,0,5988,0
skewed,constant,random_walk,3000,3000,20260603_213807,55.8,0.8825,0.0238,3501.72,139.23,0.0,0.0,0.0,0.0,0.0,0,1730,3000,3000,0,0,0,0,6126,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.2,0.8837,0.0241,3486.9,139.31,0.0,0.0,0.0,0.0,0.0,0,1333,3000,3000,0,0,0,0,6269,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.4,0.8841,0.0243,3480.49,139.41,0.0,0.0,0.0,0.0,0.0,0,1775,3000,3000,0,0,0,0,6413,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.4,0.8833,0.0243,3472.46,139.49,0.0,0.0,0.0,0.0,0.0,0,1605,3000,3000,0,0,0,0,6556,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8832,0.0245,3473.25,139.54,0.0,0.0,0.0,0.0,0.0,0,2037,3000,3000,0,0,0,0,6698,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8836,0.0246,3462.0,139.61,0.0,0.0,0.0,0.0,0.0,0,1456,3000,3000,0,0,0,0,6841,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.2,0.8847,0.0249,3472.55,139.68,0.0,0.0,0.0,0.0,0.0,0,2481,3000,3000,0,0,0,0,6984,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8861,0.0248,3467.28,139.73,0.0,0.0,0.0,0.0,0.0,0,1715,3000,3000,0,0,0,0,7126,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.4,0.887,0.025,3466.21,139.73,0.0,0.0,0.0,0.0,0.0,0,1964,3000,3000,0,0,0,0,7266,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.8,0.888,0.0251,3462.27,139.81,0.0,0.0,0.0,0.0,0.0,0,1805,3000,3000,0,0,0,0,7410,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.2,0.8893,0.0253,3474.99,139.85,0.0,0.0,0.0,0.0,0.0,0,2617,3000,3000,0,0,0,0,7552,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.6,0.8893,0.0249,3480.24,139.96,0.0,0.0,0.0,0.0,0.0,0,2242,3000,3000,0,0,0,0,7698,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8892,0.0251,3489.13,139.95,0.0,0.0,0.0,0.0,0.0,0,2481,3000,3000,0,0,0,0,7837,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.4,0.8903,0.0247,3487.03,140.09,0.0,0.0,0.0,0.0,0.0,0,1902,3000,3000,0,0,0,0,7985,0
skewed,constant,random_walk,3000,3000,20260603_213807,58.2,0.8895,0.0247,3478.84,140.14,0.0,0.0,0.0,0.0,0.0,0,1523,3000,3000,0,0,0,0,8128,0
skewed,constant,random_walk,3000,3000,20260603_213807,55.8,0.8906,0.0247,3471.38,140.07,0.0,0.0,0.0,0.0,0.0,0,1559,3000,3000,0,0,0,0,8264,0
skewed,constant,random_walk,3000,3000,20260603_213807,56.6,0.8906,0.0246,3471.09,140.18,0.0,0.0,0.0,0.0,0.0,0,1993,3000,3000,0,0,0,0,8411,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.4,0.8909,0.0247,3474.64,140.18,0.0,0.0,0.0,0.0,0.0,0,2214,3000,3000,0,0,0,0,8551,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.2,0.8915,0.0246,3472.22,140.27,0.0,0.0,0.0,0.0,0.0,0,1854,3000,3000,0,0,0,0,8697,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8926,0.0246,3473.65,140.25,0.0,0.0,0.0,0.0,0.0,0,2097,3000,3000,0,0,0,0,8836,0
