profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
skewed,constant,straight,1000,3000,20260603_212658,0.6,0.0,0.0,3205.0,3.0,0.0,0.0,0.0,0.0,0.0,0,3039,1000,3000,0,0,0,0,3,0
skewed,constant,straight,1000,3000,20260603_212658,2.4,0.5,0.0,2769.0,6.0,0.0,0.0,0.0,0.0,0.0,0,2333,1000,3000,0,0,0,0,12,0
skewed,constant,straight,1000,3000,20260603_212658,10.0,0.52,0.0,2635.44,16.67,0.0,0.0,0.0,0.0,0.0,0,2171,1000,3000,0,0,0,0,50,0
skewed,constant,straight,1000,3000,20260603_212658,20.0,0.7,0.0,2608.53,25.0,0.0,0.0,0.0,0.0,0.0,0,2153,1000,3000,0,0,0,0,100,0
skewed,constant,straight,1000,3000,20260603_212658,29.2,0.7671,0.0,2418.51,29.2,0.0,0.0,0.0,0.0,0.0,0,1560,1000,3000,0,0,0,0,146,0
skewed,constant,straight,1000,3000,20260603_212658,38.2,0.801,0.0,2419.11,31.83,0.0,0.0,0.0,0.0,0.0,0,1962,1000,3000,0,0,0,0,191,0
skewed,constant,straight,1000,3000,20260603_212658,44.6,0.7957,0.0,2541.21,33.57,0.0,0.0,0.0,0.0,0.0,0,2609,1000,3000,0,0,0,0,235,0
skewed,constant,straight,1000,3000,20260603_212658,54.4,0.7711,0.0,2456.44,35.5,0.0,0.0,0.0,0.0,0.0,0,1587,1000,3000,0,0,0,0,284,0
skewed,constant,straight,1000,3000,20260603_212658,47.2,0.7917,0.003,2516.05,37.33,0.0,0.0,0.0,0.0,0.0,0,2424,1000,3000,0,0,0,0,336,0
skewed,constant,straight,1000,3000,20260603_212658,47.4,0.8094,0.0026,2533.39,38.3,0.0,0.0,0.0,0.0,0.0,0,2196,1000,3000,0,0,0,0,383,0
skewed,constant,straight,1000,3000,20260603_212658,56.2,0.7939,0.0023,2485.36,38.82,0.0,0.0,0.0,0.0,0.0,0,1588,1000,3000,0,0,0,0,427,0
skewed,constant,straight,1000,3000,20260603_212658,57.4,0.7929,0.0021,2486.28,39.83,0.0,0.0,0.0,0.0,0.0,0,2039,1000,3000,0,0,0,0,478,0
skewed,constant,straight,1000,3000,20260603_212658,47.8,0.7801,0.0019,2482.15,40.23,0.0,0.0,0.0,0.0,0.0,0,2012,1000,3000,0,0,0,0,523,0
skewed,constant,straight,1000,3000,20260603_212658,58.4,0.7882,0.0017,2467.6,41.14,0.0,0.0,0.0,0.0,0.0,0,1828,1000,3000,0,0,0,0,576,0
skewed,constant,straight,1000,3000,20260603_212658,56.6,0.7851,0.0016,2458.79,41.27,0.0,0.0,0.0,0.0,0.0,0,1848,1000,3000,0,0,0,0,619,0
