profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
skewed,wave,corridor,10000,5000,20260603_235348,83.2,0.8846,0.0,8014.22,416.0,0.012,0.0,0.8,0.0,0.2,0,5162,10000,5000,0,4,0,1,416,5
skewed,wave,corridor,10000,5000,20260603_235348,124.8,0.9337,0.0048,8402.52,520.0,0.0077,0.0,0.875,0.0,0.125,0,4037,10000,5000,0,7,0,1,1040,8
skewed,wave,corridor,10000,5000,20260603_235348,124.6,0.9453,0.0066,8590.97,554.33,0.0072,0.0,0.8333333333333334,0.0,0.16666666666666666,0,4203,10000,5000,0,10,0,2,1663,12
skewed,wave,corridor,10000,5000,20260603_235348,125.2,0.9393,0.0074,8568.27,572.25,0.0066,0.0,0.8666666666666667,0.0,0.13333333333333333,0,3789,10000,5000,0,13,0,2,2289,15
skewed,wave,corridor,10000,5000,20260603_235348,123.8,0.945,0.0079,8515.28,581.6,0.0062,0.0,0.8333333333333334,0.0,0.16666666666666666,0,3535,10000,5000,0,15,0,3,2908,18
skewed,wave,corridor,10000,5000,20260603_235348,125.0,0.9471,0.0085,8488.33,588.83,0.0062,0.045454545454545456,0.8181818181818182,0.0,0.13636363636363635,0,3567,10000,5000,1,18,0,3,3533,22
skewed,wave,corridor,10000,5000,20260603_235348,125.0,0.9456,0.0087,8482.79,594.0,0.0058,0.041666666666666664,0.7916666666666666,0.0,0.16666666666666666,0,3654,10000,5000,1,19,0,4,4158,24
skewed,wave,corridor,10000,5000,20260603_235348,125.2,0.9475,0.009,8482.52,598.0,0.0052,0.04,0.8,0.0,0.16,0,3698,10000,5000,1,20,0,4,4784,25
skewed,wave,corridor,10000,5000,20260603_235348,123.0,0.9487,0.0091,8496.78,599.89,0.0046,0.04,0.8,0.0,0.16,0,3816,10000,5000,1,20,0,4,5399,25
skewed,wave,corridor,10000,5000,20260603_235348,125.4,0.9499,0.0091,8494.83,602.6,0.0041,0.04,0.8,0.0,0.16,0,3637,10000,5000,1,20,0,4,6026,25
skewed,wave,corridor,10000,5000,20260603_235348,124.8,0.9504,0.0092,8521.43,604.55,0.0039,0.038461538461538464,0.8076923076923077,0.0,0.15384615384615385,0,3985,10000,5000,1,21,0,4,6650,26
skewed,wave,corridor,10000,5000,20260603_235348,124.4,0.9493,0.0092,8524.44,606.0,0.0037,0.037037037037037035,0.8148148148148148,0.0,0.14814814814814814,0,3764,10000,5000,1,22,0,4,7272,27
skewed,wave,corridor,10000,5000,20260603_235348,125.8,0.9504,0.0094,8551.58,607.77,0.0034,0.037037037037037035,0.8148148148148148,0.0,0.14814814814814814,0,3987,10000,5000,1,22,0,4,7901,27
skewed,wave,corridor,10000,5000,20260603_235348,123.4,0.9507,0.0094,8534.98,608.43,0.0033,0.03571428571428571,0.8214285714285714,0.0,0.14285714285714285,0,3557,10000,5000,1,23,0,4,8518,28
skewed,wave,corridor,10000,5000,20260603_235348,126.4,0.9506,0.0095,8584.97,610.0,0.0033,0.06666666666666667,0.8,0.0,0.13333333333333333,0,4387,10000,5000,2,24,0,4,9150,30
skewed,wave,corridor,10000,5000,20260603_235348,124.6,0.9515,0.0095,8581.58,610.81,0.0031,0.06666666666666667,0.8,0.0,0.13333333333333333,0,3657,10000,5000,2,24,0,4,9773,30
skewed,wave,corridor,10000,5000,20260603_235348,126.2,0.9517,0.0095,8559.57,612.0,0.0029,0.06666666666666667,0.8,0.0,0.13333333333333333,0,3372,10000,5000,2,24,0,4,10404,30
skewed,wave,corridor,10000,5000,20260603_235348,125.4,0.9515,0.0096,8546.71,612.83,0.0027,0.06666666666666667,0.8,0.0,0.13333333333333333,0,3551,10000,5000,2,24,0,4,11031,30
skewed,wave,corridor,10000,5000,20260603_235348,123.4,0.9518,0.0097,8583.8,613.05,0.0026,0.06666666666666667,0.8,0.0,0.13333333333333333,0,4439,10000,5000,2,24,0,4,11648,30
skewed,wave,corridor,10000,5000,20260603_235348,126.0,0.952,0.0096,8560.28,613.9,0.0026,0.09375,0.78125,0.0,0.125,0,3396,10000,5000,3,25,0,4,12278,32
skewed,wave,corridor,10000,5000,20260603_235348,124.4,0.952,0.0097,8563.59,614.29,0.0026,0.09090909090909091,0.7878787878787878,0.0,0.12121212121212122,0,3851,10000,5000,3,26,0,4,12900,33
skewed,wave,corridor,10000,5000,20260603_235348,124.8,0.9522,0.0097,8562.55,614.73,0.0024,0.09090909090909091,0.7878787878787878,0.0,0.12121212121212122,0,3657,10000,5000,3,26,0,4,13524,33
skewed,wave,corridor,10000,5000,20260603_235348,125.4,0.9519,0.0097,8576.01,615.26,0.0023,0.09090909090909091,0.7878787878787878,0.0,0.12121212121212122,0,4022,10000,5000,3,26,0,4,14151,33
skewed,wave,corridor,10000,5000,20260603_235348,125.0,0.9522,0.0097,8564.63,615.67,0.0022,0.09090909090909091,0.7878787878787878,0.0,0.12121212121212122,0,3506,10000,5000,3,26,0,4,14776,33
skewed,wave,corridor,10000,5000,20260603_235348,124.2,0.952,0.0097,8576.13,615.88,0.0022,0.08823529411764706,0.7941176470588235,0.0,0.11764705882352941,0,4013,10000,5000,3,27,0,4,15397,34
skewed,wave,corridor,10000,5000,20260603_235348,125.2,0.9518,0.0098,8575.46,616.27,0.0022,0.1111111111111111,0.7777777777777778,0.0,0.1111111111111111,0,3686,10000,5000,4,28,0,4,16023,36
skewed,wave,corridor,10000,5000,20260603_235348,124.0,0.9524,0.0098,8577.64,616.41,0.0023,0.13157894736842105,0.7631578947368421,0.0,0.10526315789473684,0,3844,10000,5000,5,29,0,4,16643,38
skewed,wave,corridor,10000,5000,20260603_235348,124.2,0.9528,0.0098,8585.33,616.57,0.0023,0.1282051282051282,0.7692307692307693,0.0,0.10256410256410256,0,3933,10000,5000,5,30,0,4,17264,39
skewed,wave,corridor,10000,5000,20260603_235348,124.8,0.9528,0.0098,8573.93,616.83,0.0022,0.125,0.775,0.0,0.1,0,3460,10000,5000,5,31,0,4,17888,40
skewed,wave,corridor,10000,5000,20260603_235348,126.2,0.9525,0.0098,8606.87,617.3,0.0022,0.125,0.775,0.0,0.1,0,4676,10000,5000,5,31,0,4,18519,40
skewed,wave,corridor,10000,5000,20260603_235348,121.6,0.9525,0.0098,8620.51,617.0,0.0021,0.125,0.775,0.0,0.1,0,4254,10000,5000,5,31,0,4,19127,40
skewed,wave,corridor,10000,5000,20260603_235348,125.4,0.9526,0.0098,8622.11,617.31,0.002,0.125,0.775,0.0,0.1,0,3682,10000,5000,5,31,0,4,19754,40
skewed,wave,corridor,10000,5000,20260603_235348,126.2,0.953,0.0098,8636.46,617.73,0.002,0.125,0.775,0.0,0.1,0,4166,10000,5000,5,31,0,4,20385,40
skewed,wave,corridor,10000,5000,20260603_235348,124.0,0.953,0.0098,8651.83,617.79,0.0019,0.125,0.775,0.0,0.1,0,4254,10000,5000,5,31,0,4,21005,40
skewed,wave,corridor,10000,5000,20260603_235348,124.6,0.9533,0.0098,8658.87,617.94,0.0018,0.125,0.775,0.0,0.1,0,4045,10000,5000,5,31,0,4,21628,40
skewed,wave,corridor,10000,5000,20260603_235348,125.4,0.9525,0.0098,8661.8,618.19,0.0018,0.125,0.775,0.0,0.1,0,3858,10000,5000,5,31,0,4,22255,40
skewed,wave,corridor,10000,5000,20260603_235348,125.4,0.9521,0.0097,8666.89,618.43,0.0018,0.12195121951219512,0.7804878048780488,0.0,0.0975609756097561,0,4045,10000,5000,5,32,0,4,22882,41
skewed,wave,corridor,10000,5000,20260603_235348,123.6,0.9525,0.0097,8667.89,618.42,0.0018,0.11904761904761904,0.7857142857142857,0.0,0.09523809523809523,0,3815,10000,5000,5,33,0,4,23500,42
