profile,rate_pattern,motion_mode,window_size_ms,watermark_delay_ms,run_timestamp,event_rate,disorder_ratio,late_event_ratio,avg_latency_ms,window_fill_ratio,interaction_rate,collision_rate,proximity_rate,swarm_rate,conflict_rate,watermark_lag_ms,processing_latency_ms,adaptive_window_ms,adaptive_watermark_ms,collision_count,proximity_count,swarm_count,conflict_count,total_events,total_interactions
late,constant,straight,3000,5000,20260604_000356,55.0,0.8156,0.0,6371.07,133.71,0.0,0.0,0.0,0.0,0.0,0,4848,3000,5000,0,0,0,0,10697,0
mixed,burst,collision,5000,5000,20260604_223617,68.8,0.9566,0.0079,7268.92,279.3,0.2112,0.2095820189274448,0.6143533123028391,0.0354889589905362,0.1405757097791798,0,3226,5000,5000,1063,3116,180,713,24020,5072
late,burst,random_walk,5000,5000,20260604_001620,85.0,0.8661,0.0045,8365.96,280.93,0.0,0.0,0.0,0.0,0.0,0,7026,5000,5000,0,0,0,0,33150,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0007,0.0569,1142.06,47.41,0.0,0.0,0.0,0.0,0.0,0,659,1000,500,0,0,0,0,8960,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0006,0.0571,1140.31,47.44,0.0,0.0,0.0,0.0,0.0,0,624,1000,500,0,0,0,0,10768,0
skewed,constant,random_walk,3000,3000,20260603_213807,58.0,0.8896,0.0243,3453.87,141.07,0.0,0.0,0.0,0.0,0.0,0,1741,3000,3000,0,0,0,0,12978,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0003,0.0579,1133.1,47.52,0.0,0.0,0.0,0.0,0.0,0,662,1000,500,0,0,0,0,23475,0
late,burst,collision,5000,5000,20260604_002709,44.2,0.8694,0.0052,8785.85,283.98,0.1804,0.1933066062401952,0.6119923304863168,0.0533379815234443,0.1413630817500435,0,5081,5000,5000,1109,3511,306,811,31806,5737
realtime,constant,straight,1000,500,20260603_203825,57.2,0.002,0.0523,1181.02,47.06,0.0,0.0,0.0,0.0,0.0,0,582,1000,500,0,0,0,0,2965,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,42.8,0.8632,0.0109,4994.35,169.7,0.0,0.0,0.0,0.0,0.0,0,2906,3000,3000,0,0,0,0,12049,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0003,0.0578,1134.19,47.51,0.0,0.0,0.0,0.0,0.0,0,666,1000,500,0,0,0,0,21571,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0014,0.0544,1161.34,47.2,0.0,0.0,0.0,0.0,0.0,0,632,1000,500,0,0,0,0,4154,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0009,0.0565,1147.29,47.34,0.0,0.0,0.0,0.0,0.0,0,707,1000,500,0,0,0,0,6391,0
out_of_order,wave,collision,5000,3000,20260604_214025,115.2,0.8594,0.0106,5316.42,226.2,0.55,0.2090032154340836,0.6672025723472669,0.0128617363344051,0.1109324758842443,0,2882,5000,3000,130,415,8,69,1131,622
late,wave,swarm,10000,5000,20260604_210440,120.0,0.8566,0.0099,10165.14,577.95,0.0199,0.0829875518672199,0.7759336099585062,0.0165975103734439,0.1244813278008298,0,4871,10000,5000,20,187,4,30,12137,241
realtime,constant,random_walk,3000,1000,20260603_205021,57.2,0.0023,0.0379,2665.13,142.53,0.0,0.0,0.0,0.0,0.0,0,1082,3000,1000,0,0,0,0,2138,0
skewed,constant,straight,1000,3000,20260603_212658,47.6,0.7564,0.0075,2460.02,46.95,0.0,0.0,0.0,0.0,0.0,0,1890,1000,3000,0,0,0,0,8544,0
realtime,constant,random_walk,3000,1000,20260603_205021,57.2,0.0008,0.0401,2654.17,142.67,0.0,0.0,0.0,0.0,0.0,0,1104,3000,1000,0,0,0,0,6135,0
realtime,constant,straight,1000,500,20260603_203825,47.6,0.0007,0.057,1142.4,47.41,0.0,0.0,0.0,0.0,0.0,0,683,1000,500,0,0,0,0,9151,0
out_of_order,constant,straight,1000,3000,20260604_211629,44.8,0.7912,0.0,3343.48,44.58,0.0,0.0,0.0,0.0,0.0,0,2800,1000,3000,0,0,0,0,8648,0
skewed,constant,straight,1000,3000,20260603_212658,46.8,0.7569,0.0068,2455.25,47.14,0.0,0.0,0.0,0.0,0.0,0,2480,1000,3000,0,0,0,0,13152,0
late,constant,straight,3000,5000,20260604_000356,57.0,0.8148,0.0,6365.08,134.3,0.0,0.0,0.0,0.0,0.0,0,4737,3000,5000,0,0,0,0,17191,0
late,burst,random_walk,5000,5000,20260604_001620,62.8,0.8643,0.0043,8260.84,258.6,0.0,0.0,0.0,0.0,0.0,0,4954,5000,5000,0,0,0,0,5172,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,44.0,0.8633,0.0106,4884.1,170.92,0.0,0.0,0.0,0.0,0.0,0,2957,3000,3000,0,0,0,0,19827,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,81.8,0.8627,0.0109,4906.9,168.64,0.0,0.0,0.0,0.0,0.0,0,3093,3000,3000,0,0,0,0,22429,0
realtime,constant,straight,1000,500,20260603_203825,57.2,0.0007,0.0566,1144.64,47.4,0.0,0.0,0.0,0.0,0.0,0,560,1000,500,0,0,0,0,8532,0
out_of_order,burst,random_walk,3000,3000,20260604_212800,36.8,0.8612,0.011,4853.24,171.66,0.0,0.0,0.0,0.0,0.0,0,4833,3000,3000,0,0,0,0,6008,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.2,0.8773,0.0255,3421.08,141.83,0.0,0.0,0.0,0.0,0.0,0,1575,3000,3000,0,0,0,0,26522,0
late,burst,collision,5000,5000,20260604_002709,88.8,0.8666,0.0051,8848.97,279.04,0.3585,0.2299000434593655,0.5993046501521078,0.0256410256410256,0.145154280747501,0,7877,5000,5000,529,1379,59,334,6418,2301
out_of_order,constant,straight,1000,3000,20260604_211629,55.8,0.7925,0.0,3350.71,44.94,0.0,0.0,0.0,0.0,0.0,0,2945,1000,3000,0,0,0,0,26467,0
out_of_order,constant,straight,1000,3000,20260604_211629,53.0,0.7954,0.0,3344.41,44.49,0.0,0.0,0.0,0.0,0.0,0,2872,1000,3000,0,0,0,0,6228,0
realtime,constant,straight,1000,500,20260603_203825,57.0,0.0002,0.0582,1131.58,47.53,0.0,0.0,0.0,0.0,0.0,0,548,1000,500,0,0,0,0,27758,0
mixed,burst,random_walk,5000,5000,20260604_222546,84.6,0.956,0.0089,6741.34,275.3,0.0,0.0,0.0,0.0,0.0,0,4687,5000,5000,0,0,0,0,15692,0
late,constant,straight,3000,5000,20260604_000356,53.8,0.8156,0.0,6365.25,134.56,0.0,0.0,0.0,0.0,0.0,0,4738,3000,5000,0,0,0,0,25163,0
realtime,constant,random_walk,3000,1000,20260603_205021,57.2,0.0002,0.041,2652.2,142.76,0.0,0.0,0.0,0.0,0.0,0,1165,3000,1000,0,0,0,0,22842,0
late,wave,swarm,10000,5000,20260604_210440,121.2,0.8587,0.0099,10165.91,538.78,0.0188,0.0989010989010989,0.8131868131868132,0.0,0.0879120879120879,0,4838,10000,5000,9,74,0,8,4849,91
out_of_order,burst,random_walk,3000,3000,20260604_212800,50.8,0.8624,0.0117,5078.25,171.06,0.0,0.0,0.0,0.0,0.0,0,7895,3000,3000,0,0,0,0,8382,0
late,burst,collision,5000,5000,20260604_002709,82.8,0.8698,0.0051,8778.96,283.24,0.2025,0.2007132950267485,0.6108579354071726,0.05072320190212,0.1377055676639587,0,4843,5000,5000,1013,3083,256,695,24925,5047
late,constant,straight,3000,5000,20260604_000356,51.6,0.8161,0.0,6379.74,132.31,0.0,0.0,0.0,0.0,0.0,0,4810,3000,5000,0,0,0,0,6483,0
skewed,constant,straight,1000,3000,20260603_212658,58.0,0.7585,0.0062,2449.04,47.25,0.0,0.0,0.0,0.0,0.0,0,1696,1000,3000,0,0,0,0,20033,0
out_of_order,constant,straight,1000,3000,20260604_211629,46.8,0.7972,0.0,3348.3,43.63,0.0,0.0,0.0,0.0,0.0,0,2880,1000,3000,0,0,0,0,2574,0
skewed,constant,straight,1000,3000,20260603_212658,38.8,0.7552,0.0079,2480.81,46.79,0.0,0.0,0.0,0.0,0.0,0,3066,1000,3000,0,0,0,0,6364,0
skewed,constant,straight,1000,3000,20260603_212658,55.4,0.7584,0.0063,2443.74,47.25,0.0,0.0,0.0,0.0,0.0,0,1918,1000,3000,0,0,0,0,21879,0
skewed,constant,straight,1000,3000,20260603_212658,47.8,0.7586,0.0079,2457.71,46.97,0.0,0.0,0.0,0.0,0.0,0,1781,1000,3000,0,0,0,0,8831,0
mixed,constant,straight,3000,5000,20260604_221419,53.8,0.9263,0.0018,5437.26,131.56,0.0,0.0,0.0,0.0,0.0,0,3817,3000,5000,0,0,0,0,14209,0
mixed,burst,collision,5000,5000,20260604_223617,78.2,0.9625,0.008,7285.86,277.17,0.4129,0.2480582524271844,0.6048543689320388,0.0169902912621359,0.1300970873786407,0,6137,5000,5000,511,1246,35,268,4989,2060
skewed,constant,random_walk,3000,3000,20260603_213807,57.2,0.8781,0.026,3404.58,141.36,0.0,0.0,0.0,0.0,0.0,0,1956,3000,3000,0,0,0,0,16822,0
realtime,constant,random_walk,3000,1000,20260603_205021,57.2,0.0002,0.041,2652.31,142.77,0.0,0.0,0.0,0.0,0.0,0,1202,3000,1000,0,0,0,0,26840,0
out_of_order,constant,straight,1000,3000,20260604_211629,46.2,0.7924,0.0,3346.95,44.58,0.0,0.0,0.0,0.0,0.0,0,2916,1000,3000,0,0,0,0,7355,0
skewed,constant,straight,1000,3000,20260603_212658,46.2,0.7587,0.0064,2437.74,47.28,0.0,0.0,0.0,0.0,0.0,0,1926,1000,3000,0,0,0,0,25959,0
skewed,constant,random_walk,3000,3000,20260603_213807,57.0,0.8815,0.0244,3499.96,139.1,0.0,0.0,0.0,0.0,0.0,0,2214,3000,3000,0,0,0,0,5703,0
skewed,constant,random_walk,3000,3000,20260603_213807,58.0,0.8696,0.0238,3547.79,136.79,0.0,0.0,0.0,0.0,0.0,0,1921,3000,3000,0,0,0,0,3283,0
out_of_order,constant,straight,1000,3000,20260604_211629,55.8,0.7926,0.0,3346.48,44.96,0.0,0.0,0.0,0.0,0.0,0,2785,1000,3000,0,0,0,0,22165,0
skewed,constant,straight,1000,3000,20260603_212658,56.8,0.7593,0.0063,2433.98,47.3,0.0,0.0,0.0,0.0,0.0,0,1815,1000,3000,0,0,0,0,28616,0
realtime,constant,random_walk,3000,1000,20260603_205021,57.0,0.0002,0.041,2653.02,142.76,0.0,0.0,0.0,0.0,0.0,0,1219,3000,1000,0,0,0,0,25983,0
out_of_order,constant,straight,1000,3000,20260604_211629,53.0,0.793,0.0,3347.79,44.9,0.0,0.0,0.0,0.0,0.0,0,2717,1000,3000,0,0,0,0,17422,0
out_of_order,constant,straight,1000,3000,20260604_211629,46.0,0.7932,0.0,3349.43,44.56,0.0,0.0,0.0,0.0,0.0,0,2893,1000,3000,0,0,0,0,7041,0
skewed,constant,straight,1000,3000,20260603_212658,47.0,0.7582,0.0063,2436.07,47.31,0.0,0.0,0.0,0.0,0.0,0,2196,1000,3000,0,0,0,0,27201,0
